title,category
이재명  병역 의무 역량 발휘  상무 e스포츠단  신설  제안,Politics
이재명  상무 E 스포츠단 창단 제안   게임  미래산업 핵심 ,Politics
e스포츠 발전을 위한 국회의원 모임 창립총회 참석한 이재명,Politics
이재명  상무 E 스포츠단 창단 제안  연일 청년에  구애  종합 ,Politics
분교 논란에 입 연 고민정  을들의 전쟁 보는 것 같다 ,Politics
고민정  경희대 분교  발언에  전여옥  골 때리는 그녀  찼다 하면 자책골 ,Politics
경희대 총학생회   분교 발언  고민정에 비판 성명,Politics
경희대 국제캠 학생회  고민정 의원이 부끄럽다 ,Politics
재정당국에 날 세운 윤호중  올해 초과세수   조원  기재부 몰랐다면 책무유기 ,Politics
   초과세수   조    사안  방역지원금 기재부 겁박,Politics
윤호중  정부  초과세수 과소추계   의도 있다면 국정조사 ,Politics
윤호중  올해 세수 초과액   조원  기재부 세수 추계에 의도 있다면 국정조사해야 ,Politics
이철희  다혜씨  거주 지적 과해     유쾌할 조건이면 양해해야 ,Politics
  탈당 요구에       대통령은 후보 지원 유세도 한다 ,Politics
  정무수석  대통령 탈당 요구에  과거 대통령 탈당  잘못된 관행 ,Politics
이철희   대통령  퇴임 때  문전박대  받는 게 소망   무슨 뜻 ,Politics
 사무총장  파열음에 이준석  하이에나의 말    김재원  모든 결정권 윤석열에 ,Politics
 김재원  당무우선권 갈등 전례 없어   에게 모든 권한 있는 것  시선집중 ,Politics
이재명   정권과 차별화 기득권엔 대립각 지지율 돌파구 고심,Politics
이재명  거칠어진 홍남기 때리기 민생 힘싣고  정부와 차별화,Politics
김기현  문 정권   청포  정권 이재명  청년 부담 안길 궁리만 ,Politics
김기현   정권  청년포기정권 빚만 늘어난 객관적 수치 나타나 ,Politics
김총리  두번째 코로나 수능 모든 수험생 안전한 시험에 총력 ,Politics
김총리   콘텐츠 흥행에 관광 수요 증가 예상 기회 잡아야 ,Politics
이재명  기본소득 토지세 반대  악성 언론에 놀아나는 바보짓 ,Politics
이재명  기본소득 토지세 반대는 악성언론에 놀아나는 바보짓 ,Politics
 김혜경씨 낙상사고 후  첫 외출   보도에 이재명 측  배우자 아닌 수행원 ,Politics
이재명측  올블랙 외출 사진  김혜경씨 아닌 김씨 수행원 ,Politics
김정은  삼지연  자력번영 철석의지 실증  한달여만 공개활동 종합 ,Politics
김정은  한달여 침묵 깨며  혁명의 고향  선택 눈길,Politics
문 대통령  CEPI 대표 접견  한국 백신 개발 협력 ,Politics
   우리 백신 생산 개발이 국가적 목표  해쳇  한국은 과학기술 허브 ,Politics
이재명  청년 표심 잡기 주력   윤석열  선대위 인선 두고 진통,Politics
 이재명  재난지원금 협의  윤석열 선대위 곧 윤곽 뉴스포커스 ,Politics
김동연  서울대 학부 지방 이전하겠다 학종 폐지  수능  회 실시 ,Politics
김동연  학생부 전형 폐지 수능  회 실시  교육 공약 발표,Politics
윤석열       이재명          대통령 될 것         여론조사공정 ,Politics
다자대결 지지율  윤석열        이재명        KSOI ,Politics
 여심야심  또 김종인 선거 때면 소환되는   메이커,Politics
 여심야심  받을 사람    가 싫다는데  지원금 왜 주려고 할까 ,Politics
 여심야심  윤석열 주연   인  각  영화  흥행 성공할까 ,Politics
 여심야심  심상정 안철수  완주   단일화 압박  견딜까 ,Politics
이재명  병역 의무 역량 발휘  상무 e스포츠단  신설  제안,Economic
이재명  상무 E 스포츠단 창단 제안   게임  미래산업 핵심 ,Economic
e스포츠 발전을 위한 국회의원 모임 창립총회 참석한 이재명,Economic
이재명  상무 E 스포츠단 창단 제안  연일 청년에  구애  종합 ,Economic
분교 논란에 입 연 고민정  을들의 전쟁 보는 것 같다 ,Economic
고민정  경희대 분교  발언에  전여옥  골 때리는 그녀  찼다 하면 자책골 ,Economic
경희대 총학생회   분교 발언  고민정에 비판 성명,Economic
경희대 국제캠 학생회  고민정 의원이 부끄럽다 ,Economic
재정당국에 날 세운 윤호중  올해 초과세수   조원  기재부 몰랐다면 책무유기 ,Economic
   초과세수   조    사안  방역지원금 기재부 겁박,Economic
윤호중  정부  초과세수 과소추계   의도 있다면 국정조사 ,Economic
윤호중  올해 세수 초과액   조원  기재부 세수 추계에 의도 있다면 국정조사해야 ,Economic
이철희  다혜씨  거주 지적 과해     유쾌할 조건이면 양해해야 ,Economic
  탈당 요구에       대통령은 후보 지원 유세도 한다 ,Economic
  정무수석  대통령 탈당 요구에  과거 대통령 탈당  잘못된 관행 ,Economic
이철희   대통령  퇴임 때  문전박대  받는 게 소망   무슨 뜻 ,Economic
 사무총장  파열음에 이준석  하이에나의 말    김재원  모든 결정권 윤석열에 ,Economic
 김재원  당무우선권 갈등 전례 없어   에게 모든 권한 있는 것  시선집중 ,Economic
이재명   정권과 차별화 기득권엔 대립각 지지율 돌파구 고심,Economic
이재명  거칠어진 홍남기 때리기 민생 힘싣고  정부와 차별화,Economic
김기현  문 정권   청포  정권 이재명  청년 부담 안길 궁리만 ,Economic
김기현   정권  청년포기정권 빚만 늘어난 객관적 수치 나타나 ,Economic
