,title,category
0,이재명  오월 정신 비뚤어져 있다는 거냐  윤석열 방명록 비판,Politics
1,이재명     반듯이   잘못 쓴 게 아니라면 더 문제 ,Politics
2, 오월정신  반듯이     윤석열 또 방명록 논란  뉴있저 ,Politics
3,홍영표도 썼는데    반듯이  방명록에 이재명측  한글 모르나 ,Politics
4, 의원직 상실  곽상도  아들 성과급 송구  저는 화천대유와 무관 ,Politics
5, 속보   곽상도 사직안  찬성    표로 국회 본회의 가결,Politics
6, 의원직 상실  곽상도  대장동과 무관 결백 증명하겠다 ,Politics
7, 아들   억  곽상도 의원직 상실 검찰 소환 임박,Politics
8,  동아태 차관보  한국 당국자들과 연쇄 회동 공급망 신기술 등 논의,Politics
9,이재명   에  동맹강화   에는  경제협력 심화  G  외교전,Politics
10,  차관보  대선주자에 이어 경제 통상 당국자까지 만나,Politics
11,이재명의 첫 외교 행보는     동급  외교관  동시  접촉     균형감 강조했다 ,Politics
12,      표심  공략 나선 이재명  가상자산 과세  년 유예 당에 요청 중 ,Politics
13,이재명       구애 작전 ,Politics
14,이재명  가상자산 과세 유예해야   정부 차별화 가속페달,Politics
15,     표심 잡아라  이재명  가상자산 과세  년 유예 공제한도 대폭 상향 ,Politics
16,청와대 신임 경제수석에 박원주   특허청장,Politics
17,문 대통령    경제수석에 박원주 전 특허청장 내정,Politics
18, 윤호중  특검 논의 위해 만나자는 김기현  제안도 없고 지방 일정  누가 피하는 건가   최강시사 ,Politics
19,이준석  이재명  조건부 특검 수용은 시간 벌기 ,Politics
20,심상정       반페미니즘 기수 역할 자처   젠더갈등 조장 ,Politics
21, 이대남  끌어안는 이재명 정의당  아재 반페미니즘  맹비난,Politics
22,아내 손 꼭 잡은 이재명 괴소문에 CCTV 공개 반격 나선  측,Politics
23,이재명 부인 김혜경씨     이송 사진 공개   이해식  페밀리스트 이재명 ,Politics
24,이준석 비단주머니     킹크랩 잡는 크라켄  팀 띄운다,Politics
25,이준석이  에 준 비단주머니  댓글조작  킹크랩  잡는  크라켄 이었다,Politics
26, 게임 셧다운제  폐지법  국회 본회의 통과,Politics
27, 이제 어른 됐는데   게임 강제 셧다운제   년만에 폐지,Politics
28,   초보가 음주보다 위험  전과  범의 궤변  이재명 비판,Politics
29,   음주운전보다 초보 위험 에       음주 범죄 사죄해야 ,Politics
30,김종인  내가 흥선대원군   이 어린 고종  나이    넘었는데    ,Politics
31,김종인  흥선대원군    어린 고종    철딱서니 없는 소리 ,Politics
32,윤석열  김대중 노무현 정신 배우겠다    목포에서 김해까지 통합 행보,Politics
33,봉하마을 간    기득권과 싸운 노무현 정신 배우겠다 ,Politics
34,호주산 요소수 김해공항 도착 정부  전국 구급차에 공급 ,Politics
35,요소수  만 천   실은 수송기 호주 출발 오후 국내 도착,Politics
36,김종인    선대위서 허수아비 노릇 안 해  전권 은 별개 사항 ,Politics
37,김종인   선대위서 허수아비 할 순 없다 전권과는 별개 ,Politics
38,정의용  종전선언  한미간 상당히 조율 끝나 쉽진 않을것 같다 ,Politics
39,정의용  한미 종전선언 필요성 인식 같아 다만 쉽진 않을 것 ,Politics
40, 청와대   대통령의 난   ,Politics
41, 청와대    문대통령은 왜 그렇게 북한에 집착합니까 ,Politics
42, 청와대  현직 정무수석  저격 한    비서관 이철희 어떤 표현이,Politics
43, 청와대     비서실장  개월째 유영민  참모들이 보이기 시작했다,Politics
44,이재명  오월 정신 비뚤어져 있다는 거냐  윤석열 방명록 비판,Economic
45,이재명     반듯이   잘못 쓴 게 아니라면 더 문제 ,Economic
46, 오월정신  반듯이     윤석열 또 방명록 논란  뉴있저 ,Economic
47,홍영표도 썼는데    반듯이  방명록에 이재명측  한글 모르나 ,Economic
48, 의원직 상실  곽상도  아들 성과급 송구  저는 화천대유와 무관 ,Economic
49, 속보   곽상도 사직안  찬성    표로 국회 본회의 가결,Economic
50, 의원직 상실  곽상도  대장동과 무관 결백 증명하겠다 ,Economic
51, 아들   억  곽상도 의원직 상실 검찰 소환 임박,Economic
52,  동아태 차관보  한국 당국자들과 연쇄 회동 공급망 신기술 등 논의,Economic
53,이재명   에  동맹강화   에는  경제협력 심화  G  외교전,Economic
54,  차관보  대선주자에 이어 경제 통상 당국자까지 만나,Economic
55,이재명의 첫 외교 행보는     동급  외교관  동시  접촉     균형감 강조했다 ,Economic
56,      표심  공략 나선 이재명  가상자산 과세  년 유예 당에 요청 중 ,Economic
57,이재명       구애 작전 ,Economic
58,이재명  가상자산 과세 유예해야   정부 차별화 가속페달,Economic
59,     표심 잡아라  이재명  가상자산 과세  년 유예 공제한도 대폭 상향 ,Economic
60,청와대 신임 경제수석에 박원주   특허청장,Economic
61,문 대통령    경제수석에 박원주 전 특허청장 내정,Economic
62, 윤호중  특검 논의 위해 만나자는 김기현  제안도 없고 지방 일정  누가 피하는 건가   최강시사 ,Economic
63,이준석  이재명  조건부 특검 수용은 시간 벌기 ,Economic
64,심상정       반페미니즘 기수 역할 자처   젠더갈등 조장 ,Economic
65, 이대남  끌어안는 이재명 정의당  아재 반페미니즘  맹비난,Economic
66,아내 손 꼭 잡은 이재명 괴소문에 CCTV 공개 반격 나선  측,Economic
67,이재명 부인 김혜경씨     이송 사진 공개   이해식  페밀리스트 이재명 ,Economic
68,이준석 비단주머니     킹크랩 잡는 크라켄  팀 띄운다,Economic
69,이준석이  에 준 비단주머니  댓글조작  킹크랩  잡는  크라켄 이었다,Economic
70, 게임 셧다운제  폐지법  국회 본회의 통과,Economic
71, 이제 어른 됐는데   게임 강제 셧다운제   년만에 폐지,Economic
72,   초보가 음주보다 위험  전과  범의 궤변  이재명 비판,Economic
73,   음주운전보다 초보 위험 에       음주 범죄 사죄해야 ,Economic
74,김종인  내가 흥선대원군   이 어린 고종  나이    넘었는데    ,Economic
75,김종인  흥선대원군    어린 고종    철딱서니 없는 소리 ,Economic
76,윤석열  김대중 노무현 정신 배우겠다    목포에서 김해까지 통합 행보,Economic
77,봉하마을 간    기득권과 싸운 노무현 정신 배우겠다 ,Economic
78,호주산 요소수 김해공항 도착 정부  전국 구급차에 공급 ,Economic
79,요소수  만 천   실은 수송기 호주 출발 오후 국내 도착,Economic
80,김종인    선대위서 허수아비 노릇 안 해  전권 은 별개 사항 ,Economic
81,김종인   선대위서 허수아비 할 순 없다 전권과는 별개 ,Economic
82,정의용  종전선언  한미간 상당히 조율 끝나 쉽진 않을것 같다 ,Economic
83,정의용  한미 종전선언 필요성 인식 같아 다만 쉽진 않을 것 ,Economic
84, 청와대   대통령의 난   ,Economic
85, 청와대    문대통령은 왜 그렇게 북한에 집착합니까 ,Economic
86, 청와대  현직 정무수석  저격 한    비서관 이철희 어떤 표현이,Economic
87, 청와대     비서실장  개월째 유영민  참모들이 보이기 시작했다,Economic
88, 우리 분유만 써달라  산부인과에 저리 대출 해준 남양,Economic
89, 우리 분유만 써  남양유업  산후조리원에 리베이트 주다 적발,Economic
90, 분유 팔려고 리베이트  남양유업 과징금    억 매일유업은     만원,Economic
91,돈 빌려주고  우리 분유 써라  남양유업 과징금    억,Economic
92,롯데정밀화학  요소  만    t 확보    국내 차량용 요소수    개월분 ,Economic
93,롯데정밀화학 가동중단 피했다   차량용 요소수    개월분 확보,Economic
94,롯데  차량용 요소  만 천t 신규 확보 요소수 석달치 물량,Economic
95,롯데    요소수 세 달치 확보 신동빈 회장이 직접 뛰었다,Economic
96,뉴욕증시 혼조세 마감  다우 하락  S P    나스닥 상승,Economic
97, 인플레 우려 속 혼조  리비안       폭등  뉴욕증시 ,Economic
98,인플레  투매 잦아들었나  대 지수 혼조세 뉴욕증시 ,Economic
99,미국증시  인플레이션 경계 속 혼조 나스닥       상승,Economic
100, 제  테슬라  리비안  상장 첫날 GM 포드 넘어섰다,Economic
101, 포드 GM 제친 스타트업  리비안  GE   개 회사로 분리 재택플러스 ,Economic
102,씨티은행 노조      여명 희망퇴직 신청 ,Economic
103,  억 줄 때 나가자  희망퇴직 신청 폭주에 난감해진 씨티은행,Economic
104,일상회복 앞두고 지난달  공연 관람  소비자 상담 큰 폭 증가,Economic
105,쌀쌀한 날씨에  전기매트  소비자 불만 급증,Economic
106,  지구 살리기 에 공들이는 금융지주 수장들 금융라운지 ,Economic
107,윤종규 KB금융 회장  UN 초청으로 기후변화대응 회의 참석,Economic
108,요소수 판매  주유소로 한정 당일 판매 재고량 등 매일 신고  종합 ,Economic
109,베트남서 차량용 요소수   만 리터 추가 확보,Economic
110,내일 유류세     내린다 휘발유  L    원  경유    원 인하,Economic
111,오늘부터 유류세     인하 판매가 반영에    주 소요,Economic
112,앞으로  년 후 비행기택시 타고 출근한다,Economic
113,하늘 나는  공항셔틀  실증 성공      년 수도권 상용화 목표 ,Economic
114,이랜드재단  주거 취약계층 지원 위한 MOU,Economic
115,이랜드    광군제     억 매출 돌파 올해도 신기록 행진,Economic
116,이마트   분기 실적 부진 온 오프라인 시너지 기대 미래,Economic
117,이마트   분기 매출    조        영업익은     감소,Economic
118, ESG 리포트  제너시스BBQ  청년 창업 지원해 미래 사업가 양성,Economic
119, ESG 리포트  마켓컬리 퍼플박스 출시    일  축구장    개 크기 종이박스 줄여,Economic
120, ESG 리포트  한샘  익명 게시판 만들고 협력사에 저금리 대출 지원,Economic
121, ESG 리포트  전기차 전기바이크로 친환경 배달하는 메쉬코리아  부릉 ,Economic
122,이재명  오월 정신 비뚤어져 있다는 거냐  윤석열 방명록 비판,Social
123,이재명     반듯이   잘못 쓴 게 아니라면 더 문제 ,Social
124, 오월정신  반듯이     윤석열 또 방명록 논란  뉴있저 ,Social
125,홍영표도 썼는데    반듯이  방명록에 이재명측  한글 모르나 ,Social
126, 의원직 상실  곽상도  아들 성과급 송구  저는 화천대유와 무관 ,Social
127, 속보   곽상도 사직안  찬성    표로 국회 본회의 가결,Social
128, 의원직 상실  곽상도  대장동과 무관 결백 증명하겠다 ,Social
129, 아들   억  곽상도 의원직 상실 검찰 소환 임박,Social
130,  동아태 차관보  한국 당국자들과 연쇄 회동 공급망 신기술 등 논의,Social
131,이재명   에  동맹강화   에는  경제협력 심화  G  외교전,Social
132,  차관보  대선주자에 이어 경제 통상 당국자까지 만나,Social
133,이재명의 첫 외교 행보는     동급  외교관  동시  접촉     균형감 강조했다 ,Social
134,      표심  공략 나선 이재명  가상자산 과세  년 유예 당에 요청 중 ,Social
135,이재명       구애 작전 ,Social
136,이재명  가상자산 과세 유예해야   정부 차별화 가속페달,Social
137,     표심 잡아라  이재명  가상자산 과세  년 유예 공제한도 대폭 상향 ,Social
138,청와대 신임 경제수석에 박원주   특허청장,Social
139,문 대통령    경제수석에 박원주 전 특허청장 내정,Social
140, 윤호중  특검 논의 위해 만나자는 김기현  제안도 없고 지방 일정  누가 피하는 건가   최강시사 ,Social
141,이준석  이재명  조건부 특검 수용은 시간 벌기 ,Social
142,심상정       반페미니즘 기수 역할 자처   젠더갈등 조장 ,Social
143, 이대남  끌어안는 이재명 정의당  아재 반페미니즘  맹비난,Social
144,아내 손 꼭 잡은 이재명 괴소문에 CCTV 공개 반격 나선  측,Social
145,이재명 부인 김혜경씨     이송 사진 공개   이해식  페밀리스트 이재명 ,Social
146,이준석 비단주머니     킹크랩 잡는 크라켄  팀 띄운다,Social
147,이준석이  에 준 비단주머니  댓글조작  킹크랩  잡는  크라켄 이었다,Social
148, 게임 셧다운제  폐지법  국회 본회의 통과,Social
149, 이제 어른 됐는데   게임 강제 셧다운제   년만에 폐지,Social
150,   초보가 음주보다 위험  전과  범의 궤변  이재명 비판,Social
151,   음주운전보다 초보 위험 에       음주 범죄 사죄해야 ,Social
152,김종인  내가 흥선대원군   이 어린 고종  나이    넘었는데    ,Social
153,김종인  흥선대원군    어린 고종    철딱서니 없는 소리 ,Social
154,윤석열  김대중 노무현 정신 배우겠다    목포에서 김해까지 통합 행보,Social
155,봉하마을 간    기득권과 싸운 노무현 정신 배우겠다 ,Social
156,호주산 요소수 김해공항 도착 정부  전국 구급차에 공급 ,Social
157,요소수  만 천   실은 수송기 호주 출발 오후 국내 도착,Social
158,김종인    선대위서 허수아비 노릇 안 해  전권 은 별개 사항 ,Social
159,김종인   선대위서 허수아비 할 순 없다 전권과는 별개 ,Social
160,정의용  종전선언  한미간 상당히 조율 끝나 쉽진 않을것 같다 ,Social
161,정의용  한미 종전선언 필요성 인식 같아 다만 쉽진 않을 것 ,Social
162, 청와대   대통령의 난   ,Social
163, 청와대    문대통령은 왜 그렇게 북한에 집착합니까 ,Social
164, 청와대  현직 정무수석  저격 한    비서관 이철희 어떤 표현이,Social
165, 청와대     비서실장  개월째 유영민  참모들이 보이기 시작했다,Social
166, 우리 분유만 써달라  산부인과에 저리 대출 해준 남양,Social
167, 우리 분유만 써  남양유업  산후조리원에 리베이트 주다 적발,Social
168, 분유 팔려고 리베이트  남양유업 과징금    억 매일유업은     만원,Social
