Ingredient,Category
 밥  공기 물       양조간장  큰술 스톡이나 굴소스    큰술 맛술  큰술 전분  큰술 식초  큰술 계란  개 크래미맛살    개 다진파 약간 소금 약간 식용유 약간,Chinese
 통삼겹살    그람 붉은 양파  개 파채   그람 참기름  작은 술 소금    작은 술,Chinese
 닭가슴살  덩이 우리 밀가루    달걀  개 빵가루  종이컵 포도씨유  종이컵 양상추 소   개 대파  대 무순  팩,Chinese
 돼지 앞다리살      청경채  포기 파프리카    개 다진 마늘  스푼 밀가루  스푼,Chinese
 알배기 배추  통 빨간 파프리카    개 노란 파프리카    개 초록 파프리카    개 대파 흰부분     정도 두개 청양고추  개 물    컵,Chinese
 달걀  개 크래미 작은 사이즈  개 새송이버섯  개 양파    개 대파    대 당근  줌 햄  줌,Chinese
 계란  개 부추  줌 굴소스  큰술 참기름  큰술 식용유 적당량,Chinese
 크래미  봉지  개입  계란  알 양파    개 전분가루  스푼 표고버섯  개 팽이버섯  개 대파    개 진간장  스푼 굴소스  스푼 소금    스푼 식용유  스푼,Chinese
 계란  개 대파    개 냉동새우  마리 간장    참기름    통깨 살짝,Chinese
 파스타 면  인분 소고기      데친 새우   마리 채썬 파프리카  줌 채썬 피망  줌 채썬 양파  줌 채썬 당근  줌 편마늘  줌 채썬 파  줌,Chinese
 간 돼지고기  컵 배추    장 당면  줌 식용유      다진 파    다진 마늘    물    컵 간장    후추 약간,Chinese
 양배추      양파    개 당근     대파 초록부분 약간 청양고추  개 참기름  큰술 통깨 약간,Chinese
 달걀  개 부추  줌 굴소스    참기름      후추 약간,Chinese
 통통한 게맛살  개 대파  대 통마늘  개 올리브유    포도씨유  굴소스      진간장  후추  꼬집 참기름  방울 통깨  꼬집 돼지고기다짐육     ,Chinese
 쌀밥  공기 달걀    개 대파  대 다진마늘    스푼 칵테일새우   마리 굴소스  큰술 참기름  큰술 통깨 적당히,Chinese
 쌀밥  컵       계량컵 기준  계란  개 다진 양파      다진 당근    다진 파    다진 마늘      청주    고추기름    옵션  참기름    후추 적당히,Chinese
 큰 토마토  개 달걀  개 굴소스    간장    파슬리가루  꼬집 소금  꼬집,Chinese
 달걀  개 크래미 작은 사이즈   개 당근  줌 스팸  줌 새송이버섯  개 양파    개 대파    대,Chinese
 밥  공기 크래미    개 계란  개 대파 흰부분     당근     피망    개 식용유  큰술,Chinese
 계란  개 표고버섯  개 전분가루    물    국간장    소금  꼬집 후추 약간,Chinese
 새우   마리 청양고추  개 파프리카     양파     식용유  스푼 다진마늘  스푼 대파    대 물엿  스푼,Chinese
 크래미  개 팽이버섯  봉지 달걀  개 파 조금 고형 치킨스톡  개 국간장  큰술 물   ,Chinese
 간 돼지고기      청경채  뿌리      양파 반개      홍고추    개 마늘  톨 대파    대 페퍼론치노  개 고추기름   ,Chinese
 새우      달걀  개 대파  종이컵 당근 조금 식은밥  공기 소금 후추 간장  큰술 참기름  큰술,Chinese
 감자  개 가지  개 홍피망  개 표고버섯  개 양파    개 대파    대 다진 마늘  숟가락 건고추  개 식초  숟가락 전분가루  숟가락 식용유 넉넉히,Chinese
 밥  공기 계란  개 대파  컵 종이컵  당근    개 식용유   ,Chinese
 계란 달걀   개 해물믹스      양파      중간사이즈 개  맛살     중간길이맛살 줄  부추       원동전크기  줄기  파  뿌리 썰어서 큰술  다진마늘  큰술 참기름  큰술 간장  큰술 소금  큰술,Chinese
 돼지고기 등심      청주    간장    설탕    피망       개  마늘  톨 대파 흰부분  대,Chinese
 오징어  마리 새우  줌 크래미  개 달걀  개 죽순     파 적당량 생강가루    티스푼 물       굴소스  큰술 맛술  큰술 간장  큰술 참기름 적당량 후춧가루 조금 전분가루  큰술 물  큰술,Chinese
 칵테일새우  줌 새송이버섯  개 양송이버섯  개 계란  개 썰어둔 실파  줌 양파    개 굴소스  큰술 참기름  큰술 소금 약간 후추 약간 물    마늘  알 녹말  큰술,Chinese
 식은밥  공기 달걀  개 스팸 같은양의 돼지고기로 대체가능        통  칵테일새우   마리 대파 흰부분   대 양파    개 당근    개 소금  꼬집 간장  스푼,Chinese
 땅콩  종이컵 득 식용유  숟가락,Chinese
 진간장    컵 굴 소스    컵 설탕    컵 물  컵 전분가루    컵 참기름 약간 마늘 약간 참기름 약간 마늘 약간,Chinese
 새우      대파  대 당근    개 달걀  개 찬밥  그릇,Chinese
 다진 돼지고기      두부  모 대파    뿌리 물  컵 소금 약간 후춧가루 약간,Chinese
 대하   마리 대파    대 두반장  숟가락 다진돼지고기  숟가락 생강  쪽 건고추  개 식초  숟가락 청주  숟가락 설탕  숟가락 식용유 약간 후추 약간,Chinese
