,Ingredient,Category,predict,OX
0,밥 물 양조 간장 크다 스톡 굴소스 크다 맛술 크다 전분 크다 식초 크다 계란 크다 래미 맛살 다지다 파 소금 식용유,Chinese,Japanese,X
1,삼겹살 붉다 양파 파채 참기름 작다 소금 작다,Chinese,Chinese,O
2,닭 가슴 살 우리 밀가루 달걀 빵가루 포도 씨유 양상추 소 대파 대다 무순,Chinese,Japanese,X
3,돼지 앞다리 살 청경채 파프리카 다지다 밀가루,Chinese,Japanese,X
4,배기 배추 빨갛다 파프리카 노랗다 파프리카 초록 파프리카 대파 희다 부분 두 청양고추 물,Chinese,Chinese,O
5,달걀 크다 래미 작다 사이즈 새 송이버섯 양파 대파 대다 당근 햄,Chinese,Korean,X
6,계란 부추 굴소스 크다 참기름 크다 식용유 적당 량,Chinese,Chinese,O
7,크다 래미 개입 계란 양파 전분 가루 표고버섯 팽이버섯 대파 진 간장 굴소스 소금 식용유,Chinese,Chinese,O
8,계란 대파 냉동 새우 간장 참기름 통깨,Chinese,Chinese,O
9,파스타 면 소고기 데친 새우 채 써다 파프리카 채 써다 피망 채 써다 양파 채 써다 당근 편 채 써다 파,Chinese,Japanese,X
10,간 돼지고기 배추 당면 식용유 다지다 파 다지다 물 간장 후추,Chinese,Chinese,O
11,양배추 양파 당근 대파 초록 부분 청양고추 참기름 크다 통깨,Chinese,Chinese,O
12,달걀 부추 굴소스 참기름 후추,Chinese,Korean,X
13,통통하다 게맛살 대파 대다 올리브유 포도 씨유 굴소스 진 간장 후추 꼬집다 참기름 방울 통깨 꼬집다 돼지고기 다짐 육,Chinese,Chinese,O
14,쌀밥 달걀 대파 대다 다지다 칵테일 새우 굴소스 크다 참기름 크다 통깨 적당하다,Chinese,Chinese,O
15,쌀밥 계란 다지다 양파 다지다 당근 다지다 파 다지다 청주 고추기름 참기름 후추 적당하다,Chinese,Chinese,O
16,크다 토마토 달걀 굴소스 간장 파슬리 가루 꼬집다 소금 꼬집다,Chinese,Chinese,O
17,달걀 크다 래미 작다 사이즈 당근 스팸 새 송이버섯 양파 대파 대다,Chinese,Korean,X
18,밥 크다 래미 계란 대파 희다 부분 당근 피망 식용유 크다,Chinese,Japanese,X
19,계란 표고버섯 전분 가루 물 국 간장 소금 꼬집다 후추,Chinese,Korean,X
20,새우 청양고추 파프리카 양파 식용유 다지다 대파 대다 물엿,Chinese,Chinese,O
21,크다 래미 팽이버섯 달걀 파 고형 치킨 스톡 국 간장 크다 물,Chinese,Japanese,X
22,간 돼지고기 청경채 양파 고추 대파 대다 페퍼 론 치노 고추기름,Chinese,Chinese,O
23,새우 달걀 대파 당근 식다 밥 소금 후추 간장 크다 참기름 크다,Chinese,Chinese,O
24,감자 가지 피망 표고버섯 양파 대파 대다 다지다 건 고추 식초 전분 가루 식용유 넉넉하다,Chinese,Chinese,O
25,밥 계란 대파 당근 식용유,Chinese,Chinese,O
26,계란 달걀 해물 믹스 양파 중간 사이즈 맛살 중간 맛살 부추 원 동 전 파 썰다 크다 다지다 크다 참기름 크다 간장 크다 소금 크다,Chinese,Chinese,O
27,돼지고기 등심 청주 간장 설탕 피망 대파 희다 부분 대다,Chinese,Japanese,X
28,오징어 새우 크다 래미 달걀 죽순 파 적당 량 가루 물 굴소스 크다 맛술 크다 간장 크다 참기름 적당 량 후춧가루 전분 가루 크다 물 크다,Chinese,Chinese,O
29,칵테일 새우 새 송이버섯 양송이버섯 계란 썰다 두다 실파 양파 굴소스 크다 참기름 크다 소금 후추 물 녹말 크다,Chinese,Chinese,O
30,식다 밥 달걀 스팸 같다 양 의 돼지고기 로 대체 가능 칵테일 새우 대파 희다 부분 대다 양파 당근 소금 꼬집다 간장,Chinese,Korean,X
31,땅콩 득 식용유,Chinese,Chinese,O
32,진 간장 굴 소스 설탕 물 전분 가루 참기름 참기름,Chinese,Chinese,O
33,새우 대파 대다 당근 달걀 찬밥,Chinese,Chinese,O
34,다지다 돼지고기 두부 대파 물 소금 후춧가루,Chinese,Chinese,O
35,대하 대파 대다 두 반장 다지다 돼지고기 건 고추 식초 청주 설탕 식용유 후추,Chinese,Chinese,O
36,오이 천일염 식초 설탕 두 반장 참기름,Chinese,Chinese,O
37,당면 돼지고기 등심 안심 양배추 당근 양파 표고버섯 대파 대다,Chinese,Japanese,X
38,가지 감자 피망 기름 적당 량 소금,Chinese,Japanese,X
39,밀가루 따뜻하다 우유 식용유 이스트 설탕 소금 따뜻하다 물,Chinese,Japanese,X
40,밥 쇠고기 치마 살 청경채 표고버섯 양파 고추 고추기름 크다 포도 씨유 크다 참기름 크다,Chinese,Chinese,O
41,콩나물 밥 청양 초 달걀 대파 당근 김 가루 콩기름,Chinese,Chinese,O
42,삼겹살 수 육 청경채 양파 버섯 대파,Chinese,Chinese,O
43,닭 가슴 살 브로콜리 당근 간장 굴소스 피시 소스 설탕 식용유 참기름 감자전 분,Chinese,Chinese,O
44,가지 돼지고기 다짐 육 대파 양파 맛술 후추 감자전 분 물 물 참기름,Chinese,Chinese,O
45,돼지고기 고수 대파 굴소스 고추기름 라 유 또는 식용유 크다 진 간장 크다,Chinese,Chinese,O
46,돼지고기 소금 후춧가루 물 식초 크다 설탕 크다 간장 크다,Chinese,Japanese,X
47,진 간장 설탕 쌀엿 물엿 일 매실 청주 굴소스,Chinese,Chinese,O
48,토마토 방울토마토 계란 대파 손가락 쪽파 케첩 크다 소금 후추 기름 물,Chinese,Chinese,O
49,가지 마르다 감자전 분 양파 노랑 파프리카 새 송이버섯 돼지고기 다짐 육 천일염 포도 씨유 편 으로 써다 즙 두 반장 감자전 분 물 참기름 방울 검다 깨 통깨,Chinese,Chinese,O
50,밥 달걀 간장 올리브오일 식용유,Chinese,Japanese,X
51,땅콩 소금 설탕 식용유,Chinese,Chinese,O
52,불리다 중국 당면 생크림 우유 다지다 양파 비엔나소시지 슬 라이스 치즈 후추 올리브유,Chinese,Chinese,O
53,오징어 새우 양파 소 청경채 대파 배추 당근 죽순 계란 칼국수 면 물,Chinese,Chinese,O
54,미역 다지다 크다 고 춧 기름 바퀴 가루 작다 대파 쥐똥 고추 간장 크다 청주 크다 소금 크다 설탕 참기름 바퀴 통깨,Chinese,Chinese,O
