Ingredient,Category
누룽지  표고버섯  죽순  새우  완두콩  홍고추  마늘  소금  식용유  녹말  물,Chinese
밥  당면  양파  쇠고기  느타리버섯  팽이버섯  목이버섯  당근  실파,Chinese
건포도  칵테일새우  양파  찬밥  표고버섯  감자  당근  계란,Chinese
당면  돼지고기  표고버섯  호박  당근  부추  밥,Chinese
해삼  새우  오징어  홍합  양파  당근,Chinese
밥  계란  돼지고기  당근  양파  표고버섯  대파  식용유,Chinese
밥  돼기고기  오징어  조개살  홍합  양파  당근  호박  대파  목이버섯,Chinese
쌀  쇠고기  갑오징어  새우  소라  표고버섯  당근  죽순  밤,Chinese
짜사이  돼지고기  콩나물  당면,Chinese
돼지고기  마늘  생강  통계피  대파,Chinese
돼기고기  밀가루  부추  레몬,Chinese
가리비  새우  피망,Chinese
새우  식용유  술  소금  설탕  계란흰자  녹말  식용유  후추,Chinese
갈치  대파  홍고추,Chinese
닭고기  소금  후춧가루  정종  감자전분  계란  대파  홍고추  청고추  생강  마늘,Chinese
새우  녹말  계란  식용유  양파  마늘  청고추  홍고추  대파  생강,Chinese
돼지고기   돼지고기양념  굴소스  생강술  마른전분   튀김옷  전분  물  오일,Chinese
굴비  닭고기  홍고추  육수,Chinese
닭  계란  녹말  튀김가루  표고버섯  피망,Chinese
돼지고기  표고버섯  피망  대파  녹말  홍고추  계란,Chinese
닭안심  레몬  브로콜리  레몬즙  녹말  소금  후추,Chinese
두부  새우  청경채  계란  전분  식용유,Chinese
새우  청경채  마요네즈  전분  식용유  통깨  레몬  소금  식초  설탕,Chinese
새우  녹말  계란흰자  물,Chinese
쇠고기  청경채  오이  표고버섯  당근  파프리카  녹말가루,Chinese
쇠고기  계란  녹말  소금  후추  녹말,Chinese
오징어  계란  녹말  밀가루  물  옥수수  완두콩  당근  양파  표고버섯  육수,Chinese
새우  완두콩  당근  녹말가루  튀김기름  대파  백포도주,Chinese
장어  물  녹말가루  계란  녹말물,Chinese
춘권  돼지고기  양파  표고버섯  부추  죽순  게맛살  간장  마늘  생강  소금  후춧가루,Chinese
돼지고기  스위트콘  당근  표고버섯  양파  파인애플  녹말가루,Chinese
물  홍피망  당근  식용유  죽순  계란흰자  표고버섯  돼지고기  녹말,Chinese
고등어  대파  토마토,Chinese
갑오징어  파인애플  튀김기름  밀가루  녹말가루,Chinese
돼지고기  파인애플  당근  피망  양파  계란  녹말  튀김가루  물,Chinese
홍합  낙지  새우  생굴  홍피망  양파  피망  감자전분  중국식검정콩  청피망,Chinese
양장피  오이  당근  계란  새우  피망  돼지고기  양파  목이버섯  식용유,Chinese
배추김치  돼지고기  죽순  양송이버섯  피망  마른고추  대파  마늘  생강  식용유,Chinese
오이  홍고추,Chinese
고구마  설탕  물,Chinese
식용유  마른고추  생강  고춧가루  다진마늘  파,Chinese
청고추  홍고추  오이  당근  새우  포도씨유  꽃빵  새송이버섯,Chinese
닭다리  물  소면  중국부추  당근,Chinese
밀가루  물  소금  육수  팽이버섯  쑥갓  쇠고기  배추  부추,Chinese
돼지고기  새우  계란노른자  완두콩  만두피,Chinese
돼지고기  해삼  새우  표고버섯  양파  호박  녹말  죽순  홍고추  파기름  청주  생면,Chinese
오징어  새우  모시조개  배추  표고버섯  죽순  고추  부추,Chinese
시판용 손만두  칵테일새우  갑오징어새끼  양파  당근  청경채  대파  다진마늘  다진생강  청주,Chinese
국수  새우  양파  당근  배추  목이버섯  청피망  홍고추  대파  부추  오징어,Chinese
양파  국수  자장  호박  돼지고기,Chinese
국수  돼지고기  오징어  새우  홍합  양파  당근  파  배추  청경채  목이버섯,Chinese
누룽지  죽순  청경채  양파  오징어  새우  해삼  조개  청피망  홍피망,Chinese
닭가슴살  표고버섯  양송이버섯  죽순  청피망  홍피망  대파  계란  감자전분,Chinese
돼지고기  표고버섯  당근  양파  오이  물  식용유  녹말,Chinese
돼지고기  표고버섯  양파  피망  청고추  대파  마늘  생강  녹말,Chinese
불린해삼  홍합  칵테일새우  소라  오징어  표고버섯  브로콜리  대파  돼지고기  고추기름,Chinese
등심  청피망  홍피망  양파  대파  마늘  생강  고추  캐슈너트  육수  녹말  계란흰자  식용유,Chinese
두부  다진돼지고기  대파  물  식용유  녹말  물,Chinese
부추  돼지고기  표고버섯  대파,Chinese
쇠고기  양상추  대파  녹말  튀김기름,Chinese
은대구살  대파  생강  마늘  청고추  홍고추,Chinese
돼지고기  양파  대파  청경채,Chinese
죽순  표고버섯  대파  물,Chinese
쇠고기  피망  고추  짜샤이  꽃빵,Chinese
연두부  표고버섯  청경채  팽이버섯  파프리카,Chinese
오징어  표고버섯  피망  파프리카,Chinese
대하  양파  청피망  홍피망  계란  녹말가루,Chinese
전복  가리비  소라  홍합  해삼  갑오징어  돼지고기  배추  목이버섯  대파  육수  녹말  참기름,Chinese
피망  쇠고기  표고버섯  홍고추  녹말  식용유,Chinese
