Ingredient,Category
짬뽕베이스파우다S 백합 주키니호박편(반달) 대파채 정제수 양파채 표고버섯홀 알배추채 고추맛기름 냉동중화생면 청경채 부추 갑오징어,Chinese
마라소스 물 사천고추슬라이스 냉동 푸주 즈마장 건두부 브로콜리 새우볼 두부모양 피쉬볼 알배추편 콴편 자른 청경채 고추맛 기름 우삼겹슬라이스 표고편 느타리 버섯 PDTO(21~25) 마조유 생강편 청마초 사천고추슬라이스 앵커 엑스트라 휘핑크림 올덴버거 멸균우유 대파편 맑은 식용유 홍방 구채장 양강 딜라이트 굴소스 첨면장 태태락치킨부용 물 즈마장,Chinese
"마라소스 고추맛 기름 냉동푸주 두부, 새우피쉬볼 대파편 통마늘 알배추 청경채 표고편 느타리버섯 PDTO(21~25) 브로콜리 우삼겹슬라이스 사천고추슬라이스 청마초 마조유 생강편 물에 불린 콴펀 건두부 앵커 엑스트라 휘핑크림 올덴버거 멸균우유 맑은 식용유 홍방 구채장 양강 딜라이트 굴소스 첨면장 태태락치킨부용 물 즈마장",Chinese
무띠토마토홀(홀) 무띠토마토홀(주스) 계란 참기름 매직파우다 쪽파 냉동중화생면 맑은식용유 정제수,Chinese
무띠토마토홀(홀) 무띠토마토홀(주스) 계란 즈마장 매직파우다 쪽파 냉동중화생면 맑은식용유,Chinese
판젤라틴 코코넛 밀크 DMK 올덴버거 멸균우유 앵커 휘핑크림 큐원 하얀 설탕 망고 다이스 카라멜 소스,Chinese
냉동면 생지 어린잎 야채 오이채 당근채 알배추채 알배추잎슬라이스 반숙 계란 서브큐 고추맛기름 마조유 *마라비빔면소스 마라소스 큐원 트루 스위트 알룰로스 큐원 하얀설탕 서브큐 고추맛기름 환만식초 즈마장 돈민찌 돼지갈비양념,Chinese
원료명,Chinese
"민물장어(바닷장어) 큐원 맑은 식용유 냉동 브로콜리 표고 홀 청,홍피망 죽순 홀 대파 중립종쌀밥 청경채 다진 마늘 다진 대파 흑후추 양강 프리미엄 굴소스 중화 조미료 큐원 하얀설탕 기꼬만 간장 정제수 노두유 리치밀 감자물전분 대파채 중국생강채 민물장어밑간 리치밀 감자전분 매직파우다S",Chinese
냉동면 생지 큐원 맑은 식용유 서브큐 고추맛기름 우삼겹 슬라이스 양파채 알배추편 대파채 표고버섯 홀 기꼬만 간장 짬뽕베이스파우다S 정제수 청경채 큐원 맑은 식용유 냉동 곱창(막창) 기꼬만 간장 양파 슬라이스 숙주 양강 딜라이트 굴소스 노두유 쪽파,Chinese
어향소스 죽순(채) 표고버섯(채) 홍피망채 청피망채 목이버섯 고추맛기름 생강채 천추 돈등심채 큐원 맑은식용유 가리비형화권,Chinese
짬뽕베이스파우다S 백합 주키니호박편(반달) 대파채 정제수 양파채 표고버섯홀 알배추채 고추맛기름 냉동중화생면 청경채 부추 갑오징어,Chinese
마라소스 물 사천고추슬라이스 냉동 푸주 즈마장 건두부 브로콜리 새우볼 두부모양 피쉬볼 알배추편 콴편 자른 청경채 고추맛 기름 우삼겹슬라이스 표고편 느타리 버섯 PDTO(21~25) 마조유 생강편 청마초 사천고추슬라이스 앵커 엑스트라 휘핑크림 올덴버거 멸균우유 대파편 맑은 식용유 홍방 구채장 양강 딜라이트 굴소스 첨면장 태태락치킨부용 물 즈마장,Chinese
"마라소스 고추맛 기름 냉동푸주 두부, 새우피쉬볼 대파편 통마늘 알배추 청경채 표고편 느타리버섯 PDTO(21~25) 브로콜리 우삼겹슬라이스 사천고추슬라이스 청마초 마조유 생강편 물에 불린 콴펀 건두부 앵커 엑스트라 휘핑크림 올덴버거 멸균우유 맑은 식용유 홍방 구채장 양강 딜라이트 굴소스 첨면장 태태락치킨부용 물 즈마장",Chinese
무띠토마토홀(홀) 무띠토마토홀(주스) 계란 참기름 매직파우다 쪽파 냉동중화생면 맑은식용유 정제수,Chinese
무띠토마토홀(홀) 무띠토마토홀(주스) 계란 즈마장 매직파우다 쪽파 냉동중화생면 맑은식용유,Chinese
판젤라틴 코코넛 밀크 DMK 올덴버거 멸균우유 앵커 휘핑크림 큐원 하얀 설탕 망고 다이스 카라멜 소스,Chinese
냉동면 생지 어린잎 야채 오이채 당근채 알배추채 알배추잎슬라이스 반숙 계란 서브큐 고추맛기름 마조유 *마라비빔면소스 마라소스 큐원 트루 스위트 알룰로스 큐원 하얀설탕 서브큐 고추맛기름 환만식초 즈마장 돈민찌 돼지갈비양념,Chinese
원료명,Chinese
"민물장어(바닷장어) 큐원 맑은 식용유 냉동 브로콜리 표고 홀 청,홍피망 죽순 홀 대파 중립종쌀밥 청경채 다진 마늘 다진 대파 흑후추 양강 프리미엄 굴소스 중화 조미료 큐원 하얀설탕 기꼬만 간장 정제수 노두유 리치밀 감자물전분 대파채 중국생강채 민물장어밑간 리치밀 감자전분 매직파우다S",Chinese
냉동면 생지 큐원 맑은 식용유 서브큐 고추맛기름 우삼겹 슬라이스 양파채 알배추편 대파채 표고버섯 홀 기꼬만 간장 짬뽕베이스파우다S 정제수 청경채 큐원 맑은 식용유 냉동 곱창(막창) 기꼬만 간장 양파 슬라이스 숙주 양강 딜라이트 굴소스 노두유 쪽파,Chinese
어향소스 죽순(채) 표고버섯(채) 홍피망채 청피망채 목이버섯 고추맛기름 생강채 천추 돈등심채 큐원 맑은식용유 가리비형화권,Chinese
새우부추만두 서브큐 깐풍소스 사천 고추 슬라이스 땅콩분태 다진 마늘 다진 대파 고추맛기름 큐원 맑은식용유,Chinese
냉동 탕수육 서브큐 깐풍소스 사천 고추 슬라이스 어린잎야채 다진 마늘 다진 파 다진 청.홍피망 고추맛기름 큐원 맑은식용유 아몬드 슬라이스,Chinese
서브큐 짬뽕용 소스 우삼겹 슬라이스 새우부추 만두 시금치 숙주 대파채 청양고추 양파 알배추 고추씨맛기름 정제수,Chinese
서브큐 짬뽕용 소스 냉동면 생지 소교 죽순편 소교 표고편 고추씨맛기름 정제수 청경채 부추 청.홍피망 양파채 배추편 솔방울오징어 흰다리새우 모시조개 냉동쭈꾸미,Chinese
레알 닭강정 치즈맛드레싱 큐원 맑은식용유 양배추 슬라이스 파슬리 후레이크,Chinese
