,Ingredient,Category
0, 밥  공기 물       양조간장  큰술 스톡이나 굴소스    큰술 맛술  큰술 전분  큰술 식초  큰술 계란  개 크래미맛살    개 다진파 약간 소금 약간 식용유 약간,Chinese
1, 통삼겹살    그람 붉은 양파  개 파채   그람 참기름  작은 술 소금    작은 술,Chinese
2, 닭가슴살  덩이 우리 밀가루    달걀  개 빵가루  종이컵 포도씨유  종이컵 양상추 소   개 대파  대 무순  팩,Chinese
3, 돼지 앞다리살      청경채  포기 파프리카    개 다진 마늘  스푼 밀가루  스푼,Chinese
4, 알배기 배추  통 빨간 파프리카    개 노란 파프리카    개 초록 파프리카    개 대파 흰부분     정도 두개 청양고추  개 물    컵,Chinese
5, 달걀  개 크래미 작은 사이즈  개 새송이버섯  개 양파    개 대파    대 당근  줌 햄  줌,Chinese
6, 계란  개 부추  줌 굴소스  큰술 참기름  큰술 식용유 적당량,Chinese
7, 크래미  봉지  개입  계란  알 양파    개 전분가루  스푼 표고버섯  개 팽이버섯  개 대파    개 진간장  스푼 굴소스  스푼 소금    스푼 식용유  스푼,Chinese
8, 계란  개 대파    개 냉동새우  마리 간장    참기름    통깨 살짝,Chinese
9, 파스타 면  인분 소고기      데친 새우   마리 채썬 파프리카  줌 채썬 피망  줌 채썬 양파  줌 채썬 당근  줌 편마늘  줌 채썬 파  줌,Chinese
10, 간 돼지고기  컵 배추    장 당면  줌 식용유      다진 파    다진 마늘    물    컵 간장    후추 약간,Chinese
11, 양배추      양파    개 당근     대파 초록부분 약간 청양고추  개 참기름  큰술 통깨 약간,Chinese
12, 달걀  개 부추  줌 굴소스    참기름      후추 약간,Chinese
13, 통통한 게맛살  개 대파  대 통마늘  개 올리브유    포도씨유  굴소스      진간장  후추  꼬집 참기름  방울 통깨  꼬집 돼지고기다짐육     ,Chinese
14, 쌀밥  공기 달걀    개 대파  대 다진마늘    스푼 칵테일새우   마리 굴소스  큰술 참기름  큰술 통깨 적당히,Chinese
15, 쌀밥  컵       계량컵 기준  계란  개 다진 양파      다진 당근    다진 파    다진 마늘      청주    고추기름    옵션  참기름    후추 적당히,Chinese
16, 큰 토마토  개 달걀  개 굴소스    간장    파슬리가루  꼬집 소금  꼬집,Chinese
17, 달걀  개 크래미 작은 사이즈   개 당근  줌 스팸  줌 새송이버섯  개 양파    개 대파    대,Chinese
18, 밥  공기 크래미    개 계란  개 대파 흰부분     당근     피망    개 식용유  큰술,Chinese
19, 계란  개 표고버섯  개 전분가루    물    국간장    소금  꼬집 후추 약간,Chinese
20, 새우   마리 청양고추  개 파프리카     양파     식용유  스푼 다진마늘  스푼 대파    대 물엿  스푼,Chinese
21, 크래미  개 팽이버섯  봉지 달걀  개 파 조금 고형 치킨스톡  개 국간장  큰술 물   ,Chinese
22, 간 돼지고기      청경채  뿌리      양파 반개      홍고추    개 마늘  톨 대파    대 페퍼론치노  개 고추기름   ,Chinese
23, 새우      달걀  개 대파  종이컵 당근 조금 식은밥  공기 소금 후추 간장  큰술 참기름  큰술,Chinese
24, 감자  개 가지  개 홍피망  개 표고버섯  개 양파    개 대파    대 다진 마늘  숟가락 건고추  개 식초  숟가락 전분가루  숟가락 식용유 넉넉히,Chinese
25, 밥  공기 계란  개 대파  컵 종이컵  당근    개 식용유   ,Chinese
26, 계란 달걀   개 해물믹스      양파      중간사이즈 개  맛살     중간길이맛살 줄  부추       원동전크기  줄기  파  뿌리 썰어서 큰술  다진마늘  큰술 참기름  큰술 간장  큰술 소금  큰술,Chinese
27, 돼지고기 등심      청주    간장    설탕    피망       개  마늘  톨 대파 흰부분  대,Chinese
28, 오징어  마리 새우  줌 크래미  개 달걀  개 죽순     파 적당량 생강가루    티스푼 물       굴소스  큰술 맛술  큰술 간장  큰술 참기름 적당량 후춧가루 조금 전분가루  큰술 물  큰술,Chinese
29, 칵테일새우  줌 새송이버섯  개 양송이버섯  개 계란  개 썰어둔 실파  줌 양파    개 굴소스  큰술 참기름  큰술 소금 약간 후추 약간 물    마늘  알 녹말  큰술,Chinese
30, 식은밥  공기 달걀  개 스팸 같은양의 돼지고기로 대체가능        통  칵테일새우   마리 대파 흰부분   대 양파    개 당근    개 소금  꼬집 간장  스푼,Chinese
31, 땅콩  종이컵 득 식용유  숟가락,Chinese
32, 진간장    컵 굴 소스    컵 설탕    컵 물  컵 전분가루    컵 참기름 약간 마늘 약간 참기름 약간 마늘 약간,Chinese
33, 새우      대파  대 당근    개 달걀  개 찬밥  그릇,Chinese
34, 다진 돼지고기      두부  모 대파    뿌리 물  컵 소금 약간 후춧가루 약간,Chinese
35, 대하   마리 대파    대 두반장  숟가락 다진돼지고기  숟가락 생강  쪽 건고추  개 식초  숟가락 청주  숟가락 설탕  숟가락 식용유 약간 후추 약간,Chinese
36,,Chinese
37, 오이  개 천일염    식초    컵 설탕    두반장   참기름  ,Chinese
38, 당면    그람 돼지고기 등심이나 안심    그람 양배추    그람 당근    길이  개 양파  개 표고버섯  개 대파    대,Chinese
39, 가지  개 감자  개 피망  개 기름 적당량 마늘    알 소금 약간,Chinese
40, 밀가루  컵 따뜻한 우유  컵 식용유    이스트    설탕    컵 소금 조금 따뜻한 물  컵,Chinese
41, 밥  공기 쇠고기 치마살       청경채    포기 표고버섯  장 양파 중     개 홍고추  개 마늘  쪽 고추기름  큰술 포도씨유  큰술 참기름    큰술,Chinese
42, 콩나물      밥  공기 청양초  개 달걀  개 대파 당근 김 가루 콩기름,Chinese
43, 삼겹살 수육용      청경채  개 양파  개 버섯  개 마늘      알 대파  개,Chinese
44, 닭가슴살 브로콜리 당근 간장 굴소스 피시소스 설탕 식용유 참기름 감자전분,Chinese
45, 가지  개 돼지고기다짐육      대파      양파    개 맛술  숟가락 후추 약간 감자전분  숟가락 물  숟가락 물    종이컵 참기름  숟가락,Chinese
46, 돼지고기      고수 마늘 생강 대파 굴소스 고추기름 라유  또는 식용유  큰술 진간장  큰술,Chinese
47, 돼지고기     소금 약간 후춧가루 약간 물       식초   큰술 설탕  큰술 간장  큰술,Chinese
48, 진간장    설탕    쌀엿 물엿일경우         매실청    청주    굴소스    마늘    생강   ,Chinese
49, 토마토  개  방울토마토   알  계란    개 대파 손가락길이만큼 쪽파  개 옵션  케첩  큰 술 소금  티스푼 후추    티스푼 기름    종이컵 물    종이컵,Chinese
50, 가지  개 마른 감자전분    양파    개 노랑 파프리카    개 새송이버섯  개 돼지고기다짐육      천일염 눈꼽만큼 포도씨유     편으로 썬 마늘  개 생강즙      두반장    감자전분물    참기름  방울 검은깨  통깨 ,Chinese
51, 밥  인분 달걀  개 간장    올리브오일 혹은 식용유   ,Chinese
52, 땅콩  종이컵 소금  숟가락 설탕  숟가락 식용유  숟가락,Chinese
53, 불린 중국 당면  줌 생크림  종이컵 우유      종이컵 다진마늘  숟가락 양파    개 비엔나소시지   개 슬라이스치즈  장 후추 약간 올리브유 약간,Chinese
54, 오징어  마리 새우  마리 양파 소  개반 통마늘  알 청경채  개 대파  줄 배추  잎 당근    개 죽순    줌 계란  개 칼국수면 물,Chinese
55, 미역줄기      다진마늘  큰술 고춧기름  바퀴 생강가루  작은술 대파  뿌리 쥐똥고추  개 간장  큰술 청주  큰술 소금  큰술 설탕 조금 참기름  바퀴 통깨 조금,Chinese
56, 청주    컵 파채      컵 식용유  컵 청주  큰술 쥐똥고추  개 다진마늘  작은술 천연조미료육수 멸치육수  큰술,Chinese
57, 굴      홍합      가리비 또는 조개류 적당량 배추  컵 버섯  컵 양파    봉 대파    단 식용유  큰술 고춧가루    큰술 굴 소스  큰술 국간장  큰술 소금 톡톡 다진마늘  큰술 후추 톡톡 다시육수,Chinese
58, 건 목이버섯     대파  대 파프리카 조금 다진마늘  숟가락 간장  숟가락 식용유  숟가락,Chinese
59, 밥  공기 계란  개 대파 적당량 당근 생략가능 ,Chinese
60, 중국 당면      새우  마리 햄  조각 양파    ,Chinese
61, 팽이버섯  봉지 마른홍고추    개 대파  줄기 다진 마늘    다진 파    간장      기름 약간 참기름 약간 소금 약간,Chinese
62, 물  컵 굴소스    컵 설탕  스푼 진간장    컵 전분  스푼 듬뿍 팽이버섯    그램 송이버섯  개 표고버섯  개 느타리버섯 듬뿍,Chinese
63, 밥  공기 대파 푸른부분     정도 계란  알 냉동새우 적당히,Chinese
64, 중국 당면      대파  대 양파    개 오징어    마리 바지락  종이컵 새우  마리 다진마늘  숟가락 식용유 적당량 고추기름  숟가락 사천 고추  개 청경채  개,Chinese
65, 고추기름    다진 돼지고기     다진 파    컵 다진 마늘    당근 다진당근  진간장    생수  컵 굴소스    치킨스톡    설탕    두반장   ,Chinese
66,,Chinese
67, 파스타 면     쇠고기 다짐육      양파    개 다진 마늘     맛술     치킨스탁  컵 굴소스     간장     참기름       후춧가루 약간 냉동 완두콩     녹말물      소금 약간 식용유 조금,Chinese
68, 파    단 계란  개 간장    스푼 참기름    스푼 후추 톡톡 밥  공기 소금    스푼,Chinese
69, 오이  개 홍고추  개 소금  꼬집 다진 마늘  꼬집 설탕  작은 수저 식초  수저,Chinese
70, 토마토    개 약     정도  계란  개 물      다진파 약간 식물성 오일    참기름 약간,Chinese
71, 가지  개 대파  컵 두반장    간장    식초    설탕    청양고추    컵 다진 마늘    생강      물    컵,Chinese
72, 계란  개 밥  공기 굴소스    숟가락 대파 조금 당근 조금 짜장가루  스푼 소금 살짝 후추 살짝 물 적당량,Chinese
73, 양파 채      당근 채      배추 채      오징어채    그램 홍합    그램 청경채    그램 다시다  큰술 후추가루  작은술 고추가루   그램,Chinese
74, 계란  개 파    당근    찬밥  공기,Chinese
75, 가지  개 다진 돼지고기     대파  개 청양고추  개 다진 마늘    다진 생강    간장      물      식용유     ,Chinese
76, 해물믹스      청경채  개 새송이버섯  개 표고버섯  개 피망    개 대파  대 마늘 매운고추 기름 매운굴소스    큰술 간장  큰술 소금 조금 후추 참기름 녹말  큰술,Chinese
77, 닭 감자 양파 당근 파 청양고추 참기름,Chinese
78, 멸치다시마물 계란  개 팽이버섯  줌 다진마늘 파 녹말물,Chinese
79, 돼지고기 다짐육      양파    개 대파  개 생강     계란  개 녹말가루  큰술 청경채  개 식용유 녹말물    컵,Chinese
80, 게맛살  개 양파    개 표고버섯  개 양송이버섯  개 당근    개 대파 달걀  개 참기름,Chinese
81, 돼지고기 채   그램 해삼 채   그램 팽이버섯    개 새우   마리 표고버섯 채   그램 죽순 채   그램 은행  알 참기름 조금 물전분  큰술 다진마늘  큰술,Chinese
82, 가지  개 돼지고기 갈은것    컵 대파  컵 다진마늘  큰술 다진생강    큰술,Chinese
83, 강력분      드라이이스트  작은술 설탕  작은술 소금    포도씨유  큰술 미지근한물      검정깨    ,Chinese
84, 양파    개 대파   줄 청양고추  개 당근  손가락마디      알배추      국그릇  돼지고기      잡채용  팽이버섯  봉 물   ,Chinese
85, 양파  개 삼겹살      대파  개 마늘  쪽 김치  포기 청양고추  개 고춧가루 큰  스푼 후추 조금 설탕  스푼,Chinese
86, 돼지고기     부추  단 양파      개 대파    개 다진마늘  스푼 통깨    스푼 굴소스  스푼 생강술 맛술   스푼,Chinese
87, 달걀  개 토마토  개 흰 대파     굴소스      설탕      소금      후추 약간 현미유   ,Chinese
88, 닭 안심살    그람 다진마늘  큰술 생강편    편 다진 대파  큰술 식용유  큰술 잘게 썬 청피망    컵 잘게 썬 홍피망    컵 잘게 썬 양파    컵,Chinese
89, 파프리카 빨강    개 파프리카 노랑    개 양파    개 청양고추  개 전분물 카놀라유,Chinese
90, 신라면  개 물       달걀  개 숙성된 토마토  개 토마토 페이스트    대파     쪽파     식용유    ,Chinese
91, 가지  개 돼지고기 다짐 육      대파    개 청고추  개 홍고추  개 굴 소스  큰 술 참기름    작은 술 고추기름  큰 술 후추    꼬집 식용유  큰 술,Chinese
92, 당근 약간 애호박    개 파  개 양파  개 청양고추  개 바지락  줌 오징어  마리 양배추    개,Chinese
93, 떡  주먹 중국 당면 먹을만큼 삶은계란  개 깨 조금 어묵  장 고춧가루      간장      후추 조금 물  컵,Chinese
94, 계란 대파 당근 완두콩 참기름,Chinese
95, 중국 당면  줌 베이컨  줌 양파    개 피자치즈  줌 파슬리 약간 우유       식용유 약간,Chinese
96, 청경채   개 마늘  개 표고버섯  개 대파    대 잡채용 돼지고기    컵 새우    컵 볶은 참깨      소금 약간 후춧가루 약간,Chinese
97, 가지  개 대파 흰부분    개 양파    개 양송이버섯  개 피망    개 빨간 파프리카    개 노란 파프리카    개 고추기름  큰술 다진마늘  큰술 생강가루  티스푼 간장  큰술 고춧가루    큰술 맛술  큰술 굴소스  큰술 물      ,Chinese
98, 찬 밥  공기 당근    개 대파    단 달걀  개,Chinese
99, 공기밥  개 계란  개 대파    개 식용유  큰술,Chinese
100, 달걀  개 표고버섯  개 새송이버섯    개 대파    뿌리 목이버섯 약간 당근 약간 양파    개,Chinese
101, 밥  공기 잡채  컵 부추 조금 계란  개 물 전분    참기름,Chinese
102, 닭가슴살  덩이 대파  뿌리 생강  톨 물  컵 약  리터  식용유   ,Chinese
103, 밥  공기  분 짜장  개 계란  개 파프리카 약간 쪽파 약간 소금  꼬집 후추 톡톡,Chinese
104, 양파  개 양배추    개 돼지고기      오이    개 파  줄기 파스타면  인분,Chinese
105, 우동사리 중화면이 더 좋아요 혹은 밥  인분 돼지고기      양파      개 호박    개 양배추 조금 새우  선택   움큼 계란  선택   개 물  큰술,Chinese
106, 마늘  쪽 식용유    간장 설탕 소금 물 전분 간장,Chinese
107, 중국 당면   가닥 베이컨  장 떡국떡  개,Chinese
108, 통 삼겹살  근 통마늘  쪽 대파  대 양파    개 생강  톨 통후추  알 월계수 잎  개,Chinese
109, 표고버섯      양파    쪽 청양고추  개,Chinese
110, 호박    개 당근    개 감자 큰거  개 돼지고기      춘장  팩 물       후추 약간 전분가루  숟갈 물  스푼,Chinese
111, 후추 톡톡 소금 톡톡 식용유    냉동새우  마리,Chinese
112, 삼겹살      청경채  개 물    컵 마늘  개 홍고추    개 밥  공기 통깨 조금,Chinese
113, 가지  개 돼지고기 갈은 것  큰술 된장  큰술 춘장 또는 인스턴트 짜장가루 적당량 대파 적당량 다진마늘    큰술 생강즙 또는 생강가루 적당량 청양고추 약간,Chinese
114, 식빵  장 칵테일새우   마리 달걀흰자  개분 전분  숟가락,Chinese
115, 돼지고기 잡채용       청피망  개 노랑 파프리카  개 후춧가루 약간 간장    고추기름    청주   ,Chinese
116, 식은밥  공기 햄    당근    대파    양파    강낭콩    칵테일 새우  개 달걀  개,Chinese
117, 채썬양파    개 다진마늘    숟가락 새우     브로콜리 약간 올리브유  숟가락 파슬리가루 약간 소금 약간 후추 약간 송송썬쪽파  숟가락,Chinese
118, 오이  개 설탕  컵 식초  컵 두반장  큰술 고추기름  큰술 건고추  개 소금,Chinese
119, 바지락      중국간장  큰술 다진마늘  큰술 파프리카  개 양파    개 청양고추  개 썬파  큰술 고춧기름  큰술 후추  꼬집,Chinese
120, 오징어 몸통  마리 냉동새우   마리 홍합   개 마늘 편썰기   쪽 올리브유 양파 중     개 피망    개 파프리카    개 표고버섯  개 청경채  줌 당근 약간,Chinese
121, 가지  개 대파 조금 돼지고기 적당량 후추 살짝 굴소스 한 스푼 두반장  스푼 간장  스푼 설탕  스푼 식초  스푼 녹말물 전분가루   티스푼 따뜻한물  스푼 마늘  개 홍고추 조금 칠리오일    올리브오일  스푼,Chinese
