,Ingredient,Category
0, 만두   개 대파  대 쥐똥고추   청양고추  기호에맞게 다진마늘    후추 톡톡,Chinese
1, 감자 고추 또는 쪽파,Chinese
2, 브로콜리  송이 간마늘    간장    흑설탕      참기름   ,Chinese
3, 두부      대파    대 청고추  개 홍고추    개 녹말가루   고추기름   다진 마늘   굴 소스   간장   설탕   식초   청주   물  ,Chinese
4, 청경채       약 두 포기   냉동 솔방울 오징어      청양고추  개 참기름      깨      식용유   ,Chinese
5, 두부      청양고추  개 전분    컵 식용유 적당히 맛술  큰술 조청  작은술 물  큰술 다진대파  큰술 다진마늘  큰술 다진생강    작은술 참기름  큰술 깨  큰술 고운소금 약간 후추 약간,Chinese
6, 닭가슴살  조각 양파    개 대파    개 청양고추  개 마른홍고추  개 참기름 후추가루 약간 간장 맛술 굴소스 식초 설탕 올리고당,Chinese
7, 양배추      연두    숟가락 소금    숟가락 설탕  숟가락 식초    숟가락 고춧가루    숟가락 포도씨유  숟가락,Chinese
8, 새우  인분량   개 찬 밥  공기 당근  조각 양파    개 대파    대 계란,Chinese
9, 가지  개 양파    개 당근    개 청양고추  개 홍고추  개 튀김가루  밥그릇 밀가루 적당량 고추기름  스푼 물  스푼 식용유 적당량,Chinese
10, 청경채  개 대파    대 소금  꼬집 참기름  숟갈 전분    소주컵,Chinese
11, 대파    단 당근    개 계란  개 밥  공기,Chinese
12, 소고기 스테이크용       브로콜리  송이 양파 소   개 청주 고기핏물제거용  간생강    전분가루      물    컵 참기름   ,Chinese
13, 그린빈  파운드     가량  간마늘    간생강    물    전분가루    참기름   ,Chinese
14, 쌀      작은 새우살     달걀  개 대파      토막 당근     청피망    개 식용유      소금    흰후춧가루   ,Chinese
15, 물  컵 감자전분  스푼 다진마늘  스푼 다진생강    스푼 이금기 치킨 스톡  스푼 굴소스    스푼 후추 조금,Chinese
16,,Chinese
17, 새우 큰거   개 양파    개 계란  개 파 흰부분  센치 마늘  쪽 생강 마늘  쪽크기 완두콩  줌 소금  꼬집,Chinese
18, 돼지등심      진간장      달걀  개 녹말가루      식용유       물       식초      백설탕     대파  토막 당근     완두     오이     개 양파    개 청주     ,Chinese
19,,Chinese
20, 닭다리살      청양고추  개 쥐똥고추  개 대파 흰부분       생강    손가락 마디 하나 정도  마늘  쪽 달걀  개 식용유       간장  작은술 청주  작은술,Chinese
21, 기름 넉넉히 설탕     흑임자 약간,Chinese
22, 물      양파     대파     알배추     당근     목이버섯     다진마늘     굴      모시조개      오징어     풋고추     청경채     식용유    ,Chinese
23, 데친 청경채  공기 소금      올리브유 포도씨유     다진마늘    다진파    홍고추  개 맛간장    감자전분    물    만능육수  국자 올리고당      참기름  방울,Chinese
24, 당면   인분   봉 시금치 크게  줌 어묵 넓적한거  장 양파 중     개 대파  뿌리 당근  개 삼겹살      소불고기     ,Chinese
25,,Chinese
26, 새우 중하   마리 쇠고기  돼지고기      죽순    캔 양파 큰것    개 당근 약간 통깨    숟가락 소금 적당량 후춧가루 적당량,Chinese
27, 식용유 고춧가루,Chinese
28, 닭안심살      건고추  개 홍고추      대파    개 굴소스    후춧가루 톡톡톡 식용유    감자 전분    마늘    생강   ,Chinese
