,Ingredient,Category
0, 계란  개 밥  공기 쪽파 약간 물  큰술 양파    개,Japanese
1, 진간장  컵 물  컵 생강  소주컵 가스오부시  컵 설탕  컵,Japanese
2, 소고기목심      양파  개 대파 약간 밥  인분,Japanese
3,,Japanese
4, 양파    개      가쓰오부시  줌 다시마 작은 것  장 달걀  개 실파  뿌리 팽이버섯    ,Japanese
5, 닭다리살      달걀  개 다진마늘       다진생강이나 생강가루 약간 간장     소금 약간 후춧가루 약간 전분가루     튀김기름 적당량,Japanese
6, 식빵  장 체다치즈  장 양배추  장 당근 조금 머스터드소스  ,Japanese
7,,Japanese
8, 당근    토막 무      토막 연근      토막 미림  큰술,Japanese
9, 달걀  개 우유  스푼 소금 약간 후추 약간 버터    큰술 밥  공기 양파    개 호박    개 당근    개 대파      개 베이컨 약간,Japanese
10, 간장       물       생강가루  티스푼 다시마  장 맛술 조금 설탕 조금,Japanese
11, 밥  공기 치킨 먹을만큼 계란  개 양파 조금 대파 조금,Japanese
12, 양배추 채    줌 적채  줌 베이컨  장 양파    개 대파    개 카놀라유  큰술,Japanese
13, 밥  공기 명란젓  덩이 녹차,Japanese
14, 양파  개 표고버섯  개 물       밥    공기 달걀 노른자  개 대파  썬 것  조금,Japanese
15, 달걀  개 소금  티스푼,Japanese
16, 계란  개 혼다시      소금  꼬집 물       토핑용 명란 적당량,Japanese
17, 물       감자  개 당근  개 양파  개 돼지고기 안심         ,Japanese
18,,Japanese
19, 밥  공기 계란노른자  개 낫또  인분 대파 약간,Japanese
20, 감자  개 양파  개 당근    개 소불고기     ,Japanese
21, 감자  개 당근    개 양파    개 돼지고기     ,Japanese
22, 케찹      간장  스푼 설탕  스푼 양송이  개 케찹 소스    개 버터     파르메산 치즈 조금 간장 조금 면수 또는 물 적당량 후추 조금 소금 조금,Japanese
23, 고형카레  큐브 카레용돼지고기  팩 양파  개 감자  개 당근    개 브로콜리 적당량 소금 약간 후추 약간,Japanese
24, 닭가슴살 혹은 닭다리살   조각 계란  개 양파    개 파 후추 약간,Japanese
25, 무    개 물       가쓰오부시 적당량,Japanese
26, 달걀  개 김  장,Japanese
27, 간장    설탕    물  컵 맥주컵  생강편  개 마늘 없어도됨 대파  대 마트파채도무관 ,Japanese
28, 돼지고기      양파    대 대파    대 쪽파  줄기 노른자  개 식용유  큰술,Japanese
29, 돈까스  장 계란    개 양파  줌,Japanese
30, 계란  알 맛술    소금   ,Japanese
31,,Japanese
32, 올리브유 적당량 양송이버섯  개 양파 대   개 페페론치노 고추 취향에 따라   알 마늘  조각 버터     물    무염버터    ,Japanese
33, 밥  공기 쇠고기 불고기용    샤브샤브용       양파    개 달걀  개 대파    뿌리 팽이버섯 약간 다진 실파 약간,Japanese
34, 큰감자  개 당근  개 양파  개 우유       소고기 양지      고형카레      버터     물      ,Japanese
35, 닭가슴살   닭다리살      감자전분    큰술 식용유    레몬즙  큰술 올리고당  큰술 백후춧가루    작은술     겨자  작은술,Japanese
36, 라멘 생면   건면   인분 치킨스탁 파우더       닭육수        마늘      생강      간장      설탕    참기름    미소   ,Japanese
37, 달걀  개 가쓰오육수  스푼 청주  스푼,Japanese
38, 우동면  개 가쓰오부시  컵 쯔유  큰술 국간장  큰술 소금    큰술 맛술  큰술 대파 쑥갓 어묵 유부,Japanese
39, 버터  스푼 양파  줌 감자  줌 브로컬리  줌 양송이버섯  줌 닭고기 조금 소세지 조금 고형카레    조각,Japanese
40, 가스오브시 육수       돈가스  인분 달걀  알 대파 피망,Japanese
41, 양파    개 송송 썬 대파  큰술 가쯔오부시 육수       맛술  큰술 생강 간것 약간 통후추 약간 페페론치노 혹은 고추씨  약간,Japanese
42, 밤     럼주나 브랜디    컵 소금 약간 물     ,Japanese
43, 미소된장 물  컵 종이컵기준  두부    모 팽이버섯    원짜리동전만큼 쪽파   짜리동전만큼,Japanese
44,,Japanese
45,,Japanese
46, 소고기불고기용      두부  모 알배추 잎  장 새송이버섯  개 표고버섯    개 양파  개 청경채  개 당근     쑥갓  줌 대파    개 실곤약 또는 당면  인분 계란  개,Japanese
47, 파스타면      베이컨  줄 시금치  포기 간장  작은술 참기름  큰술,Japanese
48, 크래미  줄 달걀  개 대파  대 식용유    식초    맛술    전분물   ,Japanese
49, 닭 다리살  팩 계란 흰자  개분 우유       다진 마늘    맛술    소금 약간 후추 약간 쯔유    전분  컵 식용유 적당량,Japanese
50, 돼지고기          피망  개 생강  개 저칼로리 당면     식용유    참기름    요리술    설탕    간장      물      ,Japanese
51, 멸치육수    컵 달걀  개 새우     유부 조금 청홍고추 조금,Japanese
52, 오이  개 토마토  개 두부    모 참기름       통깨    ,Japanese
53, 닭다리 또는 닭봉  팩 감자  개 당근    개 표고버섯  개 양파    개 꽈리고추  줌 통마늘  줌 진간장    쯔유 또는 참치액젓    맛술    매실청    요리당    생강가루    후춧가루 약간 식용유 약간,Japanese
54,,Japanese
55, 연어  개 소금  꼬집 후추  꼬집 식용유    버터    간장    미림    레몬즙    밀가루     ,Japanese
56, 고기 다짐육          양파    개 버터      빵가루    우유    소금 소량 후추 소량 요리술    케찹    우스타소스    식용유     ,Japanese
57, 닭봉          무    개 생강      식용유      물      요리술    설탕       ,Japanese
58, 달걀  개 크래미  개 대파 조금 밥  인분 맛술    전분물    물      ,Japanese
59, 남은 불고기      국자 달걀  개 쪽파 또는 참나물  대 밥  공기 생강 약간 쪽파 또는 참나물  줄기 쯔유 또는  밥숟가락 물 또는 다시마육수       간장      밥숟가락 맛술 약간 참기름 약간 설탕 약간,Japanese
60, 연어 부침용두부 아보카도 찹쌀가루 청고추 홍고추,Japanese
61, 방울토마토 적당량 매실엑기스 적당량 레몬청 적당량 바질 또는 다른 허브 적당량,Japanese
62, 간장      설탕      물       생강 조금,Japanese
63, 달걀  개 파  대 양파    개 불고기      소금 가쓰오부시,Japanese
64, 삼치  마리 마늘    쪽 대파    대 생강 조금 쪽파 조금 전분      후추 조금 식용유 조금,Japanese
65, 양파    개 미역  줌 냉동 차돌박이  줌 건조 디포리  개 육수용 멸치  줌 육수용 다시마    개 물        가다랑어포  줌,Japanese
66, 소고기      양파    개 쪽파 약간 생강술 혹은 청주    맛술   ,Japanese
67, 라면  개 우유       다시마  장 된장    큰술 고춧가루    큰술 숙주  줌 삶은계란    개,Japanese
68, 돼지고기등심      간장    청주    생강즙    올리고당    양파  개 밀가루 약간 후추 약간 양파    개 생강 약간,Japanese
