,Ingredient,Category
0, 캔옥수수  캔 버터    크게  설탕      마요네즈 취향것 피자치즈 취향것 파슬리가루 톡톡,Japanese
1, 계란  개 물           다시마,Japanese
2, 닭다리  개 진간장               황설탕 흑설탕  테이블스푼 간생강  테이블스푼 발사믹식초              청주       ,Japanese
3, 가지  개 청양고추  개 식용유     맛술     물    ,Japanese
4, 달걀  개 표고버섯  개 참치액젓     설탕      ,Japanese
5, 계란  개 설탕      소금      맛술   ,Japanese
6, 감자      햄통조림    개 감자전분  숟가락 파마산치즈가루  숟가락 후추 약간 식용유 적당량,Japanese
7, 껍질 벗긴 닭다리살      연근 큰사이즈 식용유  작은술 녹말가루    작은술,Japanese
8, 돼지고기 목살 스테이크용      고춧가루 약간 올리브유    마늘   톨,Japanese
9, 샤브샤브용 소고기     다양한버섯들 새송이 표고 양송이 느타리 백만송이  적당량 배추 적당량 양파  개 잔파  대 다시멸치   마리 조각 다시마  줌 가스오부시  줌,Japanese
10, 계란  개 소금  꼬집 맛술      설탕      다시마물   ,Japanese
11, 달걀  개 다시마육수       표고버섯  조각 다진 파 약간,Japanese
12, 꽁치통조림  캔 꽈리고추  팩 홍고추  개 물  종이컵 간장  큰술 생강    토막 올리고당  스푼 다진마늘    큰술 통깨 솔솔 올리브유 약간,Japanese
13, 가지  개 갈은 돼지고기  컵 고추기름 쪽파 또는대파  청양고추 다진마늘 청주 후추 참기름 깨,Japanese
14, 계란  개 가쓰오부시  줌 물      ,Japanese
15, 호박고구마 큰 것  개 날 튀김가루    컵 튀김용 기름      ,Japanese
16, 무      대파  개 마른 청양고추  개 꽁치통조림  개,Japanese
17, 계란  개 다시마    조각조각 물      ,Japanese
18, 간장  컵 설탕    컵 물  컵 양파  개 대파  뿌리 표고버섯  개 멸치  웅큼 다시마         장 가쓰오부시  줌,Japanese
19, 메밀면  인분 김밥용 김  장 와사비 고추냉이  가루  큰술 무        크기  개 청주  큰술,Japanese
20,,Japanese
21, 양배추      당근     사과     간장    식초    레몬즙    설탕    참기름      소금 약간 후추 약간,Japanese
22, 달걀  개 차가운물  컵 밀가루     튀김가루     튀김기름 적당량,Japanese
23, 청주 백화수복 또는 경주법주   병,Japanese
24, 돼지고기      식빵  장 계란  개 밀가루  큰술 소금  꼬집 계핏가루  꼬집,Japanese
25, 소고기      양파 큰 거  개 쪽파  뿌리 팽이버섯  봉 달걀  개 김  장 다시마 손바닥만한 거  장 가쓰오부시  줌,Japanese
26, 날치알     오이    개 단무지 약간 김가루 약간 후리카케 약간 참기름 약간 김치  주먹,Japanese
27, 소고기  인분 생강  쪽 깻잎  단 다시육수    컵,Japanese
28, 쌀뜬물       데친 시금치  종이컵 새송이버섯  개 다듬은 멸치    종이컵 대파  손가락마디,Japanese
29, 튀김가루  컵 탄산수    컵 홍고추 파 얼음 소금,Japanese
30, 돈까스용 등심       장  습식빵가루  컵 계란  개 청정원 삼년묵은 천일염 약간 청정원 요리통후추 약간 청정원 유기농 밀가루  컵 모짜렐라 치즈    컵 물  컵 다진 실파  큰술 양파    개,Japanese
31, 계란  개 물  컵 소금     ,Japanese
32, 감자  개 스팸      감자전분가루  큰술 파마산치즈  큰술 후춧가루 약간,Japanese
33, 참치캔  캔 달걀  개 양파  개 잔파  대 통깨 약간 밥  공기,Japanese
34, 생연어      양파    개 레몬    개 키위  개 무순  줌 미니 파프리카 또는 고추    개,Japanese
35, 박력분밀가루     우유       계란  개 설탕     버터     소금  꼬집 바닐라익스트랙    방울 과일 또는 생크림 등 취향껏,Japanese
36, 감자    개     스팸      후추 약간 전분    케찹 스리라차소스,Japanese
37, 한우 소고기사태      올리브유      파프리카  개 양파  개 다진마늘    애호박    개 당근  개 감자    개 레드와인       데친 완숙토마토  개 토마토홀       토마토소스      천일염 흑후추,Japanese
38, 달걀  개 파  대 양파    개 불고기      소금 가쓰오부시,Japanese
39, 가지  개 홍고추  개 대파     들기름  스푼 깨소금 약간 매실청  스푼 다진마늘    스푼,Japanese
40, 감자 큰것  개 스팸      전분가루  큰술 파마산 치즈가루  큰술 후추 약간,Japanese
41, 대추토마토     매실청     천일염    밀가루   ,Japanese
42, 계란  개 다시마  장 우유      소금 설탕,Japanese
