,Ingredient,Category
0, 소고기양지 메추리알 대파 양파 통마늘 생강 꽈리고추 육수 진간장 설탕 매실액 물엿 다시마 월계수잎 통후추 소주 참기름,Korean
1, 닭 간장 절임 마늘 할라피뇨 발사믹크림 칠리소스 감자 소금 후추,Korean
2, 닭  볶음용  통마늘 페페론치노 청양고추 부추 진간장 생수 춘장 물엿 맛술 흑설탕 참기름 통깨,Korean
3, 순두부 계란 쪽파 국간장 소금 다진마늘 해물다시팩 진간장 고춧가루 설탕 다진마늘 깨 청양고추,Korean
4, 고구마 식용유 올리고당 설탕,Korean
5, 김 오이 당근 치즈 계란 참치 깻잎 맛살 크래미  마요네즈 파프리카 빨강 노랑 ,Korean
6, 스팸 단단한 두부 마늘 청양고추 홍고추 대파 진간장 올리고당 감자전분 후추 검은깨,Korean
7, 콩나물 양파 적채 양배추  깻잎 당근 오이 쫄면 계란 참깨 고추장 식초 간장 매실액 고춧가루,Korean
8, 계란 스트링치즈 체다치즈 대파 소금,Korean
9, 채끝살 얼큰한너구리 짜파게티 올리브오일 소금 로즈마리,Korean
10, 무 꿀,Korean
11, 닭다리살 쯔유 소금 올리고당 다진마늘 통후추 올리브유,Korean
12, 가래떡 소고기 당근 양파 대파 표고버섯 파프리카 참기름 굴소스 간장 올리고당 맛술 다진마늘,Korean
13, 종합어묵팩 대파 양파 무 청양고추 건고추 청경채 다시마 멸치 건새우 다진마늘 국간장 소금 후추,Korean
14, LA갈비 배 사과 마늘 생강 진간장 설탕 물엿 맛술 참기름 통후추가루,Korean
15, 배 생강 대추 황설탈 통후추 잣,Korean
16, 다진 소고기 다진 돼지고기 두부 쪽파 당근 계란 밀가루or부침가루 풋고추 깻잎 맛술 올리고당 다진마늘 후추,Korean
17, 두부 부침용  청양고추 홍고추 진간장 물엿 맛술 마늘 감자전분 참기름 생강즙 검은깨 후추,Korean
18, 배추 애호박 고춧가루 고추장 밀가루 부침가루 소금 감자 대파 양파 다진마늘 멸치육수팩,Korean
19, 떡국 떡 굴 대파 흰부분 계랸 해물다시팩 다진마늘 국간장 소금,Korean
