,Ingredient,Category
0, 단호박 샐러리 당근 양파 샬롯 야채육수 혹은 물  우유 메이플시럽 꿀  통후추 타임 클로브 월계수잎 시나몬스틱,Western
1, 연어 로메인  혹은 청상추  토마토 파프리카 적양파 아보카도 페타치즈 올리브오일 레몬즙 다진마늘 디존 머스터드 꿀 드라이 바질 드라이 오레가노 소금 후추 레몬 제스트  옵션  셀러리 새싹  옵션  다진 파슬리  옵션 ,Western
2, 토마토 마늘 양파 샐러리 소금 꿀  설탕  액상치킨스탁 월계수잎 드라이타임 바질 오레가노 올리브오일,Western
3, 딸기 어린잎채소 블루베리 스트링치즈 바게트빵 크림치즈 올리브유 꿀 소금 다진마늘 귤청 레몬즙 후추가루,Western
4, 닭가슴살 양송이버섯 생크림 우유 버터 다진마늘 후추 소금 레드와인,Western
5, 통베이컨 계란 바게트빵,Western
6, 베이컨 아스파라거스 소금 버터,Western
7, 스파게티면 새싹채소 베이컨 옥수수통조림 메추리알 진간장 설탕 발사믹식초 레몬즙 다진마늘 올리브유,Western
8, 생 칵테일 새우  대  마늘 올리브유 페페론치노 소금 통후추 가루,Western
9, 닭다리살  닭다리살 정육은 대형마트 or 코스트코에서 구매 쯔유 소금 올리고당 다진마늘 통후추 올리브유,Western
10, 빠삐코바 휘핑크림 롯데샌드 코코볼,Western
11, 식빵 키스틱크림치즈롤 계란 빵가루,Western
12, 키스틱 체다치즈 베이컨 김밥 재료,Western
13, 파스타면 양파 마늘 후추 파슬리 파마산치즈 소금 페페론치노 베이컨 올리브오일,Western
14, 별난바톡톡 우유얼음 에스프레소  혹은 커피우유  바닐라아이스크림 시리얼토핑 초코시럽 각종 토핑,Western
15, 별난바톡톡 에스프레소 샷  혹은 커피우유  우유얼음 휘핑크림 초콜렛 각종 토핑,Western
16, 김치 의성마늘 로스팜 또띠아 피자소스 옥수수콘 피자치즈 파프리카 혹은 피망 새우 양파,Western
17, 의성마늘 로스팜 오리고기 쌈무 무순 파프리카 양파 각종 야채,Western
18, 감자 삶은것 우동면 카레가루 우유 생크림 양파 베이컨,Western
19, 차돌박이 파스타면 양파 마늘 파프리카 적 노  우유 생크림 파마산치즈 가루,Western
20, 토마토 설탕 레몬즙 우유 물 연유,Western
21, 스파게티 소금 차돌박이 마늘 청양고추 쪽파 올리브유 간장 굴소스 설탕 맛술 후추,Western
22, 라자냐 양파 참치 토마토소스 모짜렐라치즈 소금 후추 올리브유,Western
23, 즉석밥 우유 휘핑크림 설탕 바닐라빈 냉동망고 라즈베리청 허브,Western
24, 밥 양파 마늘 감자 당근 홍피망 청피망 베이컨 체다치즈 식용유 간장 소금 후추 밀가루 빵가루 달걀 콜리플라워 양파 버터 타임 이태리파슬리 우유 생크림 올리브유 소금 후추,Western
25, 가지 토마토소스 어린잎 파마산치즈가루 방울토마토 올리브오일 소금 후추,Western
26, 식빵 계란 녹인버터 설탕 소금 후추 파슬리가루,Western
27, 달걀 감자 양파 파마산치즈 우유 버터 소금 후추 파슬리가루,Western
28, 식빵 블루베리잼 크림치즈,Western
29, 닭가슴살 양파 버터 밀가루 레몬 화이트와인 로즈마리 소금 후추 올리브오일,Western
30, 크레페믹스가루 달걀 물 녹인버터 슬라이스햄 달걀 루꼴라 베이컨 모짜렐라치즈 적양파 후추 발사믹크림,Western
31, 통베이컨    g 올리고당   큰술 설탕   큰술,Western
