,Ingredient,Category
0, 굴   개 소금 적당량 후추 적당량 계란  개 밀가루 적당량 빵가루 적당량 튀김기름 적당량  양배추      레몬 적당량 우스터소스 적당량  우스터소스 만드는 법    타르타르소스의 재료  마요네즈             보라색 양파     오이  또는 오이 피클      계란  개 소금 약간 후추 약간,Japanese
1, 닭다리살  개       대파  개 생표고버섯  개 두부  모        실곤약  봉지        달걀  개   소스 재료  간장   큰술       설탕     물      ,Japanese
2,  식초밥  쌀      물        밥 짓는 법  식초  큰술 설탕   큰술 소금  작은술   계란부침  계란  개 설탕    큰술 소금 한자밤 물  작은술   참치 소보로  통조림 참치     설탕    큰술 간장  작은술 물    큰술  구운 김              장 오이    개 참치회     매실장아찌  개 고추냉이 약간 흰깨 약간 기름 약간,Japanese
3, 양파  분의  개    그램  당근  분의  개   그램  표고버섯  개  대파  분의  쪽  국물 얇게 깎은 가다랑어포   그램  물     밀리리터  간장 큰술   소금 작은술   설탕 작은술   카레가루 큰술  분의   전분 큰술   데친 우동    그램,Japanese
4, 고등어   마리  필레  토막  무      대파     유자 껍질  조각      사방   간장  작은술 밀가루 적당량 기름  큰술  맛국물       간장  큰술 설탕  큰술,Japanese
5, 맛국물        마른 표고버섯  개 무      당근 작은 것   개         우엉  분의  개        실파  뿌리 된장      큰술    경단 재료   밀가루      소금 한 자밤 미지근한 물     ,Japanese
6, 찹쌀      팥     소금   분의   작은술   깨소금  검은 깨   큰술 소금   분의   작은술,Japanese
7, 연어  토막        감자  개 양배추      양파  분의  개 버섯        양념  된장  큰술 설탕  큰술 물  큰술  버터     소금 약간 후춧가루 약간 기름 약간,Japanese
8, 여주  개 피망   개 다진 닭고기      양파      소금  분의  작은술 후춧가루 약간 간장   작은술 참기름   작은술 밀가루   큰술  밀가루 적당량 기름 적당량   소스  간장   큰술 식초   작은술 연겨자 적당량,Japanese
9,  생강밥  쌀      생강     가다랑어 포    간장   작은술 소금  분의  작은술   생강 조림  생강      가다랑어 포     간장   큰술 설탕  과  분의  큰술,Japanese
10,  다코야키   개분  삶은 문어      달걀  개 물        간장   작은술 소금  분의  작은술 밀가루         약       실파   뿌리  튀김 부스러기   큰술         튀김 부스러기 재료  달걀   작은술 물   큰술 밀가루   큰술 생강 초절임   큰술  적당량  가다랑어포 적당량  기름 적당량 소스  돈까스 소스 또는 중농 소스  적당량 마요네즈 적당량,Japanese
11,  딸기 팥소떡   개분  딸기  알이 작은 것    개 단팥      팥소 만드는 법  찹쌀가루      또는 멥쌀가루      설탕     물      녹말가루 적당량,Japanese
12, 대구  토막        두부  모        배추  장        대파  개 다시마 사방       장 소금 약간   폰즈 소스  유자 등 감귤류의 즙  큰술 식초  큰술 간장  큰술 물  큰술   죽  밥      달걀  개 실파  개 소금 약간 간장 약간,Japanese
13, 가다랑어 포      덩어리 상태에서 깎는다  물       감자   개        양파     개        실파   뿌리 된장  과     큰술      ,Japanese
14,  초밥케이크 한 개 재료   쌀      물       밥 짓는 법 식초  큰술 설탕  큰술 소금  작은술  마른 표고버섯  개 설탕  큰술 간장  과   큰술  당근    개       설탕   큰술 소금    작은술  달걀  개 오크라  개 훈제 연어  쪽 흰깨   작은술 마요네즈 적당량 소금 약간 기름 약간,Japanese
15, 무              당근     개        토란   개 마른 표고버섯   개 두부 반 모         참기름   큰술  가다랭이포 맛국물         맛국물 내는 법  표고버섯 불린 물  또는 가다랭이포 맛국물         간장   큰술 소금  분의  작은술  실파   개 유자 껍질 조금 고춧가루 약간,Japanese
16, 도미   토막        옥수수   개  또는 옥수수 통조림        물        소금   분의   작은술 쪽파   개,Japanese
17, 정어리  마리 간장  작은술 녹말 적당량 기름  큰술 산초 잎이나 산초가루 적당량  간장  큰술 설탕  큰술 물   큰술  쌀      물        또는 밥      ,Japanese
18,  나물 샐러드  닭 가슴살      시메지버섯       소금  약간 시금치       브로콜리        맛국물         맛국물 만드는 법  간장    큰술   새우 아보카도 샐러드  새우    마리        아보카도    개 방울 토마토     개        양상추    장  간장        큰술 레몬즙    큰술 생강      양파        새우 삶는 물에 넣을 소금      작은술 아보카도 변색 방지를 위한 레몬즙    작은술,Japanese
19, 닭다리살  껍질이 붙은  뼈 없는 고기     장        녹말가루 적당량 기름  큰술  사과주스      간장      큰술 설탕  작은술 식초  작은술 생강   ,Japanese
20,  힛빠리우동  삶은 우동  개       수타우동  인분 만드는 법 고등어통조림   캔       쪽파   개 생강   쪽 고춧가루 약간  간장 적당량   가야키   고등어통조림   캔       물   컵        간장   큰술  시금치       배추      또는 좋아하는 야채       생강   쪽,Japanese
21, 코코아              큰술 설탕                 큰술      버터                    인스턴트 커피   작은술 뜨거운 물          큰술  우유               반 컵        밀가루              큰술       마무리용 코코아 파우더 적당량,Japanese
22,   초밥   쌀          물           식초     큰술 설탕     큰술 소금     작은술 밥 짓는 법  김  사방      크기    장 양상추     개    전갱이 식초무침   전갱이   마리 식초     큰술 설탕       작은술 소금       작은술    계란말이   계란     개 설탕     큰술 간장       작은술 소금     자밤 물       큰술 계란말이 만드는 법  참치  횟감용      연어  횟감용       이들 생선이 없을 경우에는 다른 생선회        참치통조림      캔       오크라          개        오이            개 아보카도        개 양파              생강            쪽 쪽파            개 마요네즈  간장  고추냉이  흰깨 적당량 식용유 적당량,Japanese
23, 삶은 콩 통조림               양파                                 버터                                계란                             개 소금                                작은술 후추                            약간 밀가루                          큰술  만가닥버섯 시메지       생표고버섯                  개 연근                                 무                                       식용유                        적당량   레몬간장  레몬                              반 개 간장                                큰술 설탕                                  작은술,Japanese
24,  고구마주먹밥  쌀            고구마        물             소금         작은술   야채단식초절임  파프리카     당근         연근         애호박       레디쉬       식초           물             설탕       큰술 소금       작은술   계란말이  계란       개 설탕       큰술 소금         작은술 간장       작은술 물         큰술 식용유   적당량   닭고기 다쓰타튀김  프로그램 전용   를 참고하시기 바랍니다 ,Japanese
25,  닭고기 다쓰타튀김  닭고기            생강               간장             큰술 녹말가루  적당량 식용유      적당량   고등어 다쓰타튀김  고등어    한 마리        손질한 순살고등어는       생강           간장         큰술 녹말가루 적당량 식용유    적당량    녹말가루가 없을 경우에는 옥수수전분이나 밀가루를 대신 사용해도 됩니다    기타  레몬     한 개 야채잎  몇 장,Japanese
26,  가지된장구이  가지    개  개에 약     된장    큰술      설탕    큰술 물          식용유  큰술   가지조림  가지    개 말린   붉은고추  개 설탕    큰술     간장    큰술 물           식용유  큰술,Japanese
27, 전갱이        마리        두부             모       소금          약간 식용유        작은술  흰깨             큰술 된장             큰술 반      뜨거운 물         오이             개       생강                쌀                    물                    ,Japanese
28,  튀김옷  풀어놓은 달걀                    개 냉수                                   밀가루                                 야채재료  당근                                개 그린아스파라거스              개 감자                                개 양파                                  개        식용유                          냄비의 깊이     분량 밀가루                         약간  레몬                                개 소금                              약간,Japanese
29, 쌀      물          스시스  배합초   식초  큰술 설탕  큰술 소금  작은술  당근  개       설탕  큰술 소금    작은술 물        달걀  개 설탕  큰술 소금 약간 간장    작은술 물  큰술 식용유  작은술  오이  개  참치캔  통        김  장           ,Japanese
30, 감자    개 가지    개 파프리카    개 시메지버섯 만가닥버섯         양념            생강      무        맛국물  가당랑어포로 만든  다시국물     컵 간장    큰술 설탕   작은술,Japanese
31,  나마스   무        당근       단식초  식초      컵 설탕    큰술 반 소금      작은술 물      큰술   깃카카부   순무 작은 것    개 붉은 고추   개 단식초 상동 ,Japanese
32,  건더기 재료  닭고기 다리살      양배추                무                      당근                 개 파                 한 개 생표고버섯     네 개   국물재료  맛국물            컵            년  월   일에 방송한  차완무시  계란찜  만드는 법을 참조  간장              한 큰술 소금              한 작은술   양념  빻은 흰깨       적당량,Japanese
33, 단팥빵  개 분량  강력분         설탕         큰술 소금           작은술 드라이이스트 건조효모   작은술 우유             계란         개 버터            팥소                 년  월  일에 방송한  젠자이 의 만드는 법을 참고  밀가루 달라붙지 않게 뿌리는 용도  적당량,Japanese
34, 호박         껍질과 씨도 포함  계란    개 우유         설탕     큰술,Japanese
35,  연어 후리카케  연어 한 토막      소금에 절이지 않은 생연어  하얀생선살을 대신 사용해도 무방  소금     작은술 간장     작은술 흰깨  작은술   시금치 후리카케  시금치      진한 녹색의 잎사귀가 달린 야채를 대신 사용해도 무방  소금     작은술 흰깨   작은술,Japanese
36, 토란             개      무                  닭고기           시메지버섯 만가닥버섯  구하기 어려울 경우에는 식용버섯을 사용해도 무방                  파               개 가다랑어포 구하기 어려울 경우에는 맛을 내기 위해 닭고기를 더 넣으면 좋습니다          간장           큰술 설탕           작은술,Japanese
37, 쌀      시메지버섯 만가닥버섯       생표고버섯  개 고구마     당근     간장   큰술,Japanese
38,  반죽 재료  밀가루                   베이킹파우더   작은술 흑설탕                  흑설탕이 없을 경우에는 백설탕을 사용해도 무방  식용유                     시럽재료  흑설탕                    소금                   한 자밤  튀김용 식용유  적당량,Japanese
39, 밀가루                                      가다랑어포 가쓰오부시         닭고기                                      무                                              당근                                          호박                                           실파                                       개 간장                                       큰술 소금                                      약간,Japanese
40, 두부  모멘도후  일반적인 부침용 두부   두 모           무                            생강                     쪽     가다랑어포          간장                     큰술 설탕                     작은술 밀가루              적당량 식용유              적당량,Japanese
41, 된밥                 닭고기             양파                 피망               개 건포도           큰술 식용유           큰술 카레가루       작은술 토마토케첩   작은술 간장              작은술 소금  후추   약간,Japanese
42, 새우 머리를 떼어낸 것   마리       양파         양송이  개 버터         밀가루     우유           달걀      개 튀김용 밀가루  적당량 빵가루  적당량 소금  후추  약간 식용유  적당량,Japanese
43, 양상추       장 무                 당근             오이         한 개  아오지소  푸른차조기  잎  장  또는 잘게 썬 생강 적당량 참치 캔         옥수수 캔       드레싱  간장            큰술 식초              큰술 설탕            작은술 식용유        큰술 소금              작은술 양파             ,Japanese
44, 시금치        두부       반 모       흰 참깨    작은술 설탕         큰술 간장 소금,Japanese
45, 밥      계란   개 슬라이스 치즈  장 아보카드     개 새우  마리 머리는 떼어내고 껍질이 붙어있으며 몸통 길이는      정도가 적당  식초   큰술 설탕       큰술 간장 약간 소금 적당량 식용유     작은술,Japanese
