,Ingredient,Category
0, 마라소스 물 사골국물 팽이버섯 느타리버섯 표고버섯 소고기 샤브용 감자 청경채 오징어 새우 납작당면 땅콩버터 다진 마늘,Chinese
1, 밥 마늘 쪽파 카놀라유 소금 돼지고기 등심 설탕 단호박 작은 사이즈  감자 당근 적양파 춘장,Chinese
2, 당근 샐러리 닭가슴살 마늘 참기름 설탕 백후추 설탕 물전분,Chinese
3, 새우 죽순 돼지고기   지방 날치알 소금 참기름,Chinese
4, 갈은 삼겹살 알새우 갈은 돼지고기   지방 소금 설탕 백후추,Chinese
5, 갈은 삼겹살 불린 샤미 돼지고기   지방 백후추 치킨파우더 설탕,Chinese
6, 새우 돼지고기 등심 표고버섯 죽순 돼지고기   지방 백후추 참기름 청주,Chinese
7, 새우 죽순 표고버섯 불린 샤미 돼지고기   지방 쪽파 생강 표고버섯,Chinese
8, 무 불린 샤미 표고버섯 돼지고기   지방 치킨파우더,Chinese
9, 다진마늘 오이 적채 당근 채 썬 삼겹살 건고추,Chinese
10, 청경채 쪽파 교자  카테고리 내 레시피 참조  백후추 설탕 산초가루 검은콩 소스,Chinese
11, 새우 죽순 돼지고기   지방 물밤 설탕 참기름 백후추,Chinese
12, 오이 불린 목이버섯 홍파프리카 두부피 마늘 설탕 고추씨,Chinese
13, 찹쌀 불린 샤미 참기름 간장 설탕 노두유 백후추,Chinese
14, 새우 부추 쪽파 샐러리 돼지고기   지방 참기름,Chinese
15, 갈은 삼겹살 불린 샤미 부추 대파 달걀 참기름 식용유 백후추,Chinese
16, 새우 배추 죽순 돼지고기   지방 쪽파 소금 참기름,Chinese
17, 대파 쪽파 생강 기름 소금 물,Chinese
18, 강력분 설탕 이스트 베이킹파우더 소금 우유 물,Chinese
19, 알새우 홍고추 대파 마른 월남고추 파프리카 양파 식용유 다진생강 다진마늘,Chinese
20, 닭다리살 청피망 홍피망 양파 샐러리 캐슈너트 표고버섯 죽순 마늘 생강 대파 달걀,Chinese
21, 돼지고기 등심 식용유 다진 생강 튀김기름 케첩,Chinese
22, 불린 목이버섯 샐러리 당근 마늘 생강 소금,Chinese
23, 건두부피 팔각 사천고추 대파 마늘 생강 고수 갈릭 칠리 페이스트 두반장 연두 청양초 닭 육수,Chinese
24, 밥 두부 청피망 홍피망 브로콜리 마늘 대파 사천고추 감자전분 식용유,Chinese
25, 키조개 관자 마늘 샐러리 마른고추 식용유 튀김기름   소스 물전분,Chinese
26, 두부 삼겹살 죽순 새송이버섯 표고버섯 홍고추 쪽파 마늘 달걀 생강 물전분,Chinese
27, 밥 알새우 게살 식용유 달걀 대파 홍피망 청피망   소스 치킨파우더 소금 참기름 후춧가루,Chinese
28, 오징어 알새우 바지락 양파 청경채 표고버섯 목이버섯 죽순 당근 호박 배추 고추기름 다진마늘 다진생강 고춧가루,Chinese
29, 표고버섯 양파 청경채 죽순 마늘 생강 쪽파 대파 팔각 간장 청주 고수,Chinese
30, 밥 달걀 대파 식용유 치킨파우더 소금 참기름 후춧가루,Chinese
31, 밥 오이 달걀 알새우 사천고추 마늘 대파 소금,Chinese
32, 채끝살 마 청피망 홍피망 목이버섯 표고버섯 샐러리 마늘 비타민 감자 전분,Chinese
33, 돼지고기 통삼겹살 생강 대파 월계수잎 통후추 홍고추 청양고추 죽순 양파 양상추 대파 마늘 마른 고추,Chinese
34, 소고기 죽순 오이 마늘 대파 생강 치킨파우더 물전분 백후춧가루 참기름,Chinese
35, 건두부피 홍피망 오이 양파 마늘 간장 고춧가루 연두 청양초 백후춧가루,Chinese
36, 밥 돼지고기 등심 죽순 표고버섯 양파 당근 불린 목이버섯 대파 마늘,Chinese
37, 밥 달걀 대파 당근 식용유 치킨파우더 소금 후춧가루 참기름,Chinese
38, 밥 다진 돼지고기 가지 샐러리 홍고추 청피망 양파 대파 다진 생강 다진 마늘 감자 전분 식용유 물전분,Chinese
39, 밥 중국 당면 돼지고기 등심 표고버섯 양파 당근 죽순 불린 목이버섯 대파 마늘 전분 식용유,Chinese
40, 닭다리살 마늘 생강 사천고추 마른고추 쪽파 흰 부분  노두유,Chinese
41, 중새우 마늘 대파 사천고추 감자 전분 식용유 간장 파기름 소금,Chinese
42, 중국 당면 오이 쪽파 팔각 생강 청양고추 마른 고추 후레이크,Chinese
43, 양고기 큐민가루 쪽파 고수 식용유,Chinese
44, 생면 해파리 알새우 오징어 당근 오이 달걀 불린 목이버섯,Chinese
45, 짜사이 대파 양파 고추기름 식초 치킨파우더,Chinese
46, 생면 다진 돼지고기 오징어 알새우 부추 다진생강 청양고추 양파 애호박 춘장 물전분,Chinese
47, 생면 모시조개 오징어 알새우 양파 배추잎 애호박 죽순 불린 목이버섯 식용유 다진마늘 다진생강 청양고추 마른 고추,Chinese
48, 생면 청경채 양파 애호박 죽순 목이버섯 대파 오징어 중새우 홍합 식용유 다진마늘 다진생강 두반장 고운 고춧가루 물전분,Chinese
49, 갈은 돼지고기 양파 샐러리 죽순 표고버섯 대파 다진 마늘 다진 생강 참기름 노두유,Chinese
50, 송화단 연두부 쪽파 마늘 다진 땅콩가루 고수,Chinese
51, 차돌박이 양상추 숙주 배추 죽순 미나리 대파 쪽파 마늘 생강 설탕 백후춧가루,Chinese
52, 돼지고기 등심 라이스페이퍼 대파 생강 맛술 식용유,Chinese
53, 가지 청양고추 홍고추 전분 가루 소금 식용유 통깨 물 소금 후춧가루,Chinese
54, 고급 맛살 또는 게살 통조림 팽이버섯 달걀 실파 전분물  물  컵  전분  큰술  후춧가루 청주 참기름,Chinese
55, 가지 다진 돼지고기 청양고추 건고추 마늘 당근 대파 전분가루 소금 식용유,Chinese
56, 두부 새우살 양송이버섯 팽이버섯 실파 전분가루 참기름 소금,Chinese
57, 돼지고기 잡채용  청고추 홍고추 양파 당근 표고버섯 대파 실파 밥 치킨육수 또는 물  참기름 소금 통깨 식용유 고추기름,Chinese
58, 청경채 페페론치노  또는 건고추  마늘 볶은 땅콩 식용유 참기름,Chinese
59, 알배추 다진 돼지고기 파프리카 노랑  주황  홍고추 대파 실파 고추기름 식용유 참기름 통깨,Chinese
60, 두부 파인애플 적양파 청고추 홍고추 마늘 생강 목이버섯 찹쌀가루 검은깨 식용유 소금 후추,Chinese
61, 채썬 돼지고기 새우 오징어 표고버섯 팽이버섯 마늘 대파 흰부분  죽순 캔  부추 참기름 다시마 육수 식용유 소금 밥,Chinese
62, 바지락 양파 당근 페페론치노 또는 마른 고추  대파 청양고추 마늘 맛술 참기름 고추기름 고수,Chinese
63, 양장피 돼지고기 잡채용  오징어 몸통  새우 크래미 피망 홍고추 달걀 오이 양파 표고버섯 대파 참기름 굴소스 고추기름 통깨,Chinese
64, 토마토 양파 대파 마늘 달걀 식용유 소금 물전분 물 전분 ,Chinese
65, 오징어 마른고추 청양고추 대파 실파 참기름 마늘 통깨 튀김 기름,Chinese
66, 표고버섯 양파 파인애플 목이버섯 청고추 홍고추 대파 전분가루,Chinese
67, 돼지고기 안심 또는 목살  레몬 생략가능  청피망 적채 적양파 찹쌀가루,Chinese
68, 가지 파프리카 빨강  노랑  양파 적양파 튀김가루 소금 후추,Chinese
69, 닭다리살 전분가루 계란 건고추 양상추 다진 홍고추 다진 풋고추 다진마늘 다진대파 다진생강,Chinese
70, 두부 부침용  다진 돼지고기 양파 홍고추 청고추 대파 실파 고추기름 물 참기름,Chinese
71, 닭다리살 로메인 또는 양상추 대파 우유 감자 전분가루 소금 후추 홍고추 레몬,Chinese
72, 식빵 새우 감자 소금 후추 후추,Chinese
73, 새우살 청경채 대파 만가닥버섯 소금 후추,Chinese
74, 삼겹살 흑설탕 마늘 생강 대파 건고추 팔각 숙주 올리브오일 소금 후추 식용유 양파 영양부추,Chinese
75, 새우 당근 청고추  홍고추 다진 양파 다진 마늘 다진 생강 다진 대파 완두콩 달걀흰자,Chinese
