,Ingredient,Category
0, 배 새우 완두콩 정종 미림 벌꿀 시판 깨소스 소금,Japanese
1, 반건조 오징어 소바 면 청경채 우엉 우동 다시,Japanese
2, 전복 시소 달걀물 박력분 식용유,Japanese
3, 금태 산마 간 것 빨간 파프리카 정종 소금,Japanese
4, 물오징어 빵가루 달걀 달걀물용  박력분 식용유,Japanese
5, 소바 면 산마 간 것 낫토 만가닥버섯 김 대파 와사비 소바 다시,Japanese
6, 옥도미 무 구운 대파 유자 껍질,Japanese
7, 소고기 샤브용 수박 흰 부분 긁어낸 것 수박 새우 물 다시마 건가리비 또는 건멸치  건새우 오쿠라 우동면 연간장 후추,Japanese
8, 소면 새우 오이 매생이 구기자 잣,Japanese
9, 고등어 무 꽈리고추 생강 연간장,Japanese
10, 소고기 등심       두께로 자른 것  달걀 판두부 우엉 양파 대파 느타리버섯 가쓰오 다시 쑥갓,Japanese
11, 다시마 가쓰오부시 가쓰오 다시 정종 미림 건미역 연두부 팽이버섯,Japanese
12, 우동면 대파 청양고추 닭다리살 다시마 멸치 육수 소금 후춧가루,Japanese
13, 우동면 쯔유  우동용  물 레몬 김밥 김 쪽파 다진 생강,Japanese
14, 영귤 메밀면 무  생략 가능  고추냉이,Japanese
15, 단호박 물 잣 호두 한천가루 설탕 꿀,Japanese
16, 연어  횟감  아보카도 김 가루 통깨 송송 썬 쪽파  생략 가능  밥 달걀 노른자,Japanese
17, 삼치 마늘 페페론치노  또는 건고추  유자청 녹말가루 맛술 후춧가루 식용유,Japanese
18, 달걀 생연어  연어 통조림 또는 훈제연어  물 가쓰오부시 맛술 설탕 소금 후춧가루,Japanese
19, 문어 가쓰오부시 쪽파 파래가루 마요네즈 돈가스 소스  또는 우스터 소스  식용유,Japanese
20, 순살 고등어 양배추 적양파 실파 연와사비 레몬  생략 가능  잎채소 밥 식용유,Japanese
21, 모듬어묵 곤약 대파 마늘 무 건고추 연겨자 삶은 달걀,Japanese
22, 생새우 단호박 연근 깻잎 표고버섯 꽈리고추 김 밥 튀김가루,Japanese
23, 쇠고기 불고기용  양파 느타리버섯 달걀 노른자  초생강 생략가능  쪽파 또는 대파  통깨 밥,Japanese
24, 돼지고기 등심 또는 안심  달걀 밀가루 빵가루 모차렐라치즈블럭 또는 피자치즈  맛술 시판 돈가스소스 깨 연겨자 생략가능  소금 후춧가루,Japanese
25, 두부 찌개용  전분가루 실파 무 가쓰오부시,Japanese
26, 손질한 고등어 깐마늘 대파 흰부분 들기름 물 생강가루 후춧가루,Japanese
27, 고형카레 양파 당근 흰다리새우 또는 칵테일새우  연근 깐마늘 다진마늘 버터 우유 물 이탈리안 파슬리 생략가능  튀김유,Japanese
28, 장어 밥 생강 마늘  쪽 크기  실파 와사비 양파 대파 통마늘 생강 마늘  쪽 크기  통후추,Japanese
29, 시판 돈가스 달걀 양파 실파 팽이버섯 밥 가다랑어포 육수,Japanese
30, 스파게티면 비엔나소시지 양파 마늘 피망 방울토마토 달걀 올리브유 버터 파마산치즈블럭,Japanese
31, 생연어 양파 홍고추 청양고추 레몬 가츠오부시 마늘 생강 마늘  쪽 사이즈  마른고추 통후추,Japanese
32, 스파게티면 양배추 양파 마늘 베이컨슬라이스 달걀 페페론치니 또는 건고추  가츠오부시 올리브유,Japanese
33, 닭다리살 양배추 레몬 생략가능  전분가루 우유 튀김기름,Japanese
34, 식빵 양배추 두부 소금 후추 식초 설탕 소금 토마토      두께 슬라이스  홀그레인머스터드 발사믹글레이즈 어린잎채소,Japanese
35, 밥 연어 쪽파 녹차가루 뜨거운 물 식용유 고추냉이 허브솔트 통깨,Japanese
36, 밥 삼겹살 통깨 물 청주 양파 대파 마늘 생강가루 후춧가루,Japanese
37, 차돌박이 숙주 양파 마늘 청양고추 실파 굴소스 통깨 무순 생략가능  참기름 식용유,Japanese
38, 식빵 새우 양배추 로켓잎 또는 치커리  밀가루 빵가루 달걀 마요네즈 돈가스 소스 소금 후추,Japanese
39, 밥 새우 참치 또는 훈제연어  달걀 와사비,Japanese
40, 단호박 우유 맛술 소금 후추,Japanese
41, 연근 식용유 파슬리가루 파마산 치즈가루 다진마늘 파슬리가루 후추,Japanese
42, 식빵 생크림 설탕 딸기 키위 포도 황도 통조림,Japanese
43, 냉동참치 어린잎채소 라임 또는 레몬 래디사 올리브오일 통깨 소금  후추,Japanese
44, 양배추 달래 오징어 베이컨 양파,Japanese
45, 쇠고기 우동면 양파 대파 카레가루 다진 마늘 버터 소금 후추,Japanese
46, 밥 쇠고기 차돌박이 양파 실파 김 달걀 식초  소금,Japanese
47, 쇠고기등심 두부 실곤약 표고버섯 배추 양파 대파 쑥갓 다시마육수 달걀 우동면,Japanese
48, 삼치 청주 녹말가루 마늘 홍고추 숙주 실파 식용유 후추 통깨,Japanese
49, 달걀 다시마육수 맛술 설탕 소금,Japanese
50, 밥 장어 달걀 깻잎 생강 오이 무순 식용유 후추,Japanese
51, 메밀면 실파 김 무 새우 튀김가루 무순 고추냉이 소금 후추 식용유 얼음,Japanese
52, 밥 다진 쇠고기 취나물 단무지 우메보시 참기름 소금 통깨,Japanese
53, 생면 새우 오징어 바지락 홍합 양파 대파 통마늘 알배추 청양고추 청경채 숙주 청주 소금 후추,Japanese
54, 한우 불고기용 알배추 깻잎 청경채 만가닥버섯 팽이버섯 표고버섯,Japanese
55, 초밥용 유부 다진 쇠고기 밥 양파 당근 실파 메추리알 소금 후추,Japanese
56, 새우 시사모 열빙어  닭다리살 대파 마늘 소금 후추 청주,Japanese
57, 메밀국수 낫토 마 달걀노른자 오이지 마른 김 간장 겨자 쯔유,Japanese
58, 뱅어포 설탕 고춧가루 쌀눈유 또는 카놀라유,Japanese
