,Ingredient,Category
0, 청양고추 홍고추 양파 다진 마늘 식용유,Korean
1, 불린 쌀 소고기 안심 표고버섯 아욱 물,Korean
2, 비타민 사과 달걀노른자 올리브유,Korean
3, 불린 쌀 닭 안심 비타민 잎 물,Korean
4, 불린 쌀 무 표고버섯 대구살 물,Korean
5, 불린 쌀 소고기 안심 감자 물,Korean
6, 불린 쌀 새우 건미역 참기름 명이나물 장아찌,Korean
7, 불린 쌀 오이 시금치 소고기 안심 물,Korean
8, 두부 달걀 완두콩 모유 또는 분유,Korean
9, 불린 쌀 건미역 들깨 물,Korean
10, 돼지고기 콩나물 깻잎 양파 대파 청양고추 고추장 고춧가루 진간장 다진 마늘 설탕 맛술 후추 식용유,Korean
11, 굴 순두부 달걀 애호박 양파 대파 청양고추 홍고추 물 고춧가루 식용유 국간장 다진 마늘 설탕 소금 후추,Korean
12, 소고기  양지살  느타리버섯 팽이버섯 표고버섯 양파 대파 청양고추 홍고추 국간장 고추장 고춧가루 다진 마늘 설탕 된장 참기름 물,Korean
13, 북어채 양파 대파 감자 달걀 물 참기름 다진 마늘 국간장 소금 후추,Korean
14, 대패삼겹살 무우 애호박 청양고추 홍고추 대파 두부 양파 표고버섯 쌀뜨물 국간장 다진 마늘 고추장 된장 고춧가루,Korean
15, 소고기 설도  양파 당근 대파 배 진간장 국간장 올리고당 후추 설탕 다진 마늘 맛술,Korean
16, 대패삼겹살 감자 양파 느타리버섯 대파 청양고추 홍고추 물 고춧가루 설탕 국간장 고추장 다진 마늘 참기름 식용유,Korean
17, 닭 물 고사리 고춧가루 대파 다진 마늘 고춧가루 소금 후추 우유,Korean
18, 오징어 물 두부 당근 양파 파 달걀 밀가루 소금 후추 식용유,Korean
19, 홍합 양파 대파 청양고추 홍고추 다진 마늘 맛술 후추 물,Korean
20, 감자 대파 국물용 멸치 다시마        크기  물 들깨가루 들기름 다진 마늘 국간장 소금,Korean
21, 새우 부추 밀가루 부침가루 찬물 식용유 소금 후추,Korean
22, 프랑크소시지 맛살 단무지 조림우엉 달걀 밥 김밥용 김 소금 설탕 식초 깨 참기름 식용유 머스터드 소스,Korean
23, 두부 애호박 양파 청양고추 대파        멸치 다시마 육수 청국장 된장 다진 마늘 고춧가루,Korean
24, 참가자미    생수 맛술 소금 건미역 고춧가루  다진 마늘 다진 생강 들깨가루 들기름 국간장,Korean
25, 무우 멸치 다시마 육수 다진 마늘 들기름 들깨가루 국간장 소금,Korean
26, 섬초 홍고추 멸치 다시마 육수 된장 다진 마늘,Korean
27, 조선호박 홍고추 물 국간장 새우젓,Korean
28, 데친 쑥 멸치 다시마 육수 쪽파 양파 청고추 홍고추 된장,Korean
29, 미더덕 무 애호박 두부 양파 대파 청양고추 홍고추  생략 가능  멸치 다시다 육수 된장 고춧가루,Korean
30, 꼬막 청주 대파 양파 청양고추 홍고추 통깨 참기름 깨소금 후춧가루,Korean
31, 검은콩 현미 죽염 항암육수 카테고리 내 레시피 참조 ,Korean
32, 통마늘 우유 생크림 불린 찹쌀 물 포도씨유 소금,Korean
33, 고구마 멥쌀 현미 물,Korean
34, 시금치 된장 물 보리새우 다진마늘 국간장,Korean
35, 불린 쌀 생굴 무우 물 다진마늘 쪽파 또는 달래  통깨 후추 매실액,Korean
36, 닭가슴살 새우 대파  흰부분  다진 마늘 영양부추 홍고추 청고추 깻잎 간장,Korean
37, 현미밥 느타리버섯 표고버섯 깻잎 팽이버섯 우민찌  소고기 갈은 것  포도씨유,Korean
38, 김 대파 다진마늘 진간장 물 건새우 소금 참기름,Korean
39, 밥 달걀 물 참치캔 작은캔  피자치즈 대파 간장 청고추  생략 가능  홍고추  생략 가능  후춧가루,Korean
40, 고사리 소면 대파 청양고추 통깨 달걀노른자 소금,Korean
41, 통 삼겹살  또는 목살  신 김치 대파 홍고추 청양고추 멸치 다시마 육수,Korean
42, 무 차돌박이 대파 홍고추 청양고추 다시마 멸치육수  또는 쌀뜨물 ,Korean
43, 국수호박 달걀 표고버섯 청고추 홍고추 육수용 멸치 다시마 물,Korean
44, 손질 낙지 양파 미나리 청양고추 홍고추 당근 소금 통깨,Korean
45, 단감 대파  흰 부분  쪽파 통깨,Korean
46, 잘게 썬 배추김치  신김치  순두부 애호박 표고버섯 대파 양파 청양고추 다시마 물 고추기름 소금,Korean
47, 쪽파 국간장 설탕 다진 마늘,Korean
48, 굴 부추 청양고추 홍고추 식용유,Korean
49, 두부 다진 쇠고기 표고버섯 오이 다진 마늘 당근 소금 식용유 부침가루  생략 가능  쪽파  생략 가능 ,Korean
