,Ingredient,Category
0, 바게트 통마늘 바질 잎 선 드라이 토마토 선 드라이 토마토 페이스트 올리브오일 리코타 치즈 부라타 치즈 소금 후춧가루,Western
1, 바지락 양파 햄  또는 베이컨  양송이버섯 청양고추 스파게티  또는 푸실리  마늘 우유 생크림 버터 체다치즈 파마산 치즈 가루 후추,Western
2, 스파게티면 펜네 카놀라유 베이컨 마늘 날치알 피망 대파        양파 양송이 고운 고춧가루,Western
3, 비스큐 생크림 보리 관자 적양파 차이브 아부르가 처빌 바지락 버터 꼰길리에 면 엑스트라버진 올리브유 소금  후추,Western
4, 쌀 양파 마늘 그라나 파다노 치즈 버터 방울토마토 관자 새우 초록콩 샤프론 화이트 와인 조개 스톡 소금  후추 올리브유,Western
5, 스파게티면 양파 마늘 송로오일 치킨스톡 채소스톡으로 변경 가능  이태리 파슬리 꽃소금 소금  후추 그라나 파다노 치즈 올리브유,Western
6, 옥수수 양파 마늘 생강 우유 생크림 타임 소금  후추 올리브유,Western
7, 브리치즈 어린 양배추 애호박 비트 아부르가 파프리카  빨강  파프리카  노란색  아스파라거스 프리세 소렐,Western
8, 사과 양파 우유 생크림 타임 시나몬 스틱 차이브 소금  후추 올리브유,Western
9, 스파게티면 마늘 페페론치노 이태리 파슬리 치킨 스톡 양파 간마늘 차이브 육회용 소고기 송로오일 엑스트라 버진 루꼴라 꽃소금 소금  후추 올리브유,Western
10, 토마토소스 방울토마토 바게트 채소 스톡 마늘 생강 바질 리코타 치즈 처빌 그라나파다노 치즈 소금  후추 올리브유,Western
11, 스파게티면 마늘 대파 방울토마토 이태리 파슬리 조개 스톡 페페론치노 성게알 화이트 와인 엑스트라 버진 쏘렐 아부르가 그라나 파다노 치즈 꽃소금 소금  후추 올리브유,Western
12, 오렌지주스 생강 버터 참치 토마토 키위 올리브 간마늘 바질 맛술 간장 엑스트라 버진 레시틴 소금  후추 올리브유,Western
13, 양송이버섯 양파 마늘 우유 생크림 버터 송로버섯 송로오일 설탕 소금 후추 올리브유,Western
14, 토마토 카펠리니 부라타 치즈 바질 엑스트라 버진 바질 오일 그라나 파다노 치즈 꽃소금 소금  후추 올리브유,Western
15, 멜론 오이 양파 발사믹 리덕션 엑스트라 버진 셀러리 크림치즈 래디쉬 블루베리 올리브 포도알 소금  후추,Western
16, 홍합살 바지락살 볼로티콩 베이컨 타임 이태리 파슬리 로즈마리 간마늘 양파 당근 샐러리 그라나 파다노 치즈 엑스트라 버진 토마토소스 올리브유 소금  후추,Western
17, 광어 바지락 아스파라거스 방울토마토 마늘 화이트 와인 타임 버터 엑스트라 버진 이태리 파슬리 케이퍼 적양파 레몬 처빌 소금  후추 올리브유,Western
18, 감자 광어 새우 레몬 아스파라거스 토마토 타임 그라나 파다노 치즈 엑스트라 버진 소금  후추 종이호일,Western
19, 가지 스카모르짜 치즈 리코타 치즈 차이브 된장 설탕 간마늘 맛술 깨 꿀 올리브유,Western
20, 초록 올리브 레몬 마늘 채소 스톡 버터 광어 양파 꿀 쏘렐 타임 발사믹 리덕션 소금  후추 올리브유,Western
21, 펜네 양파 마늘 바질 베이컨 가지 강력분 토마토소스 채소 스톡 이태리 파슬리 화이트 와인 엑스트라 버진 리코타 치즈 식용유 꽃소금 소금  후추 그라나 파다노 치즈 올리브유,Western
22, 돌문어 꾸스꾸스 양파 마늘 병아리콩 생크림 우유 채소 스톡 적양파 차이브 버터 타임 아보카도 무스 마요네즈 캐비어 엑스트라 버진 소금  후추 올리브유,Western
23, 스파게티면 양파 마늘 송로오일 치킨스톡 채소스톡으로 변경 가능  표고버섯 양송이버섯 송로버섯 이태리 파슬리 꽃소금 소금  후추 그라나 파다노 치즈 올리브유,Western
24, 스파게티면 양파 마늘 베이컨 치킨스톡 채소스톡으로 변경 가능  이태리 파슬리 달걀 꽃소금 소금  후추 그라나 파다노 치즈 올리브유,Western
25, 쌀 바질 양파 그라나 파다노 치즈 버터 마늘 방울토마토 오징어 관자 새우 홍합 화이트 와인 바지락 소금  후추 올리브유,Western
26, 애호박 가지 아스파라거스 달걀 볼로네제 초록콩 세발나물 식초 소금  후추 올리브유,Western
27, 바게트 선 드라이 토마토 페스토 올리브오일 파마산 치즈 파슬리,Western
28, 양파 식용유 버터 발사믹 식초 설탕 소금 후춧가루 생강가루  생략 가능 ,Western
29, 연어 그라브락스 샐러드 채소 양파 퀴노아 다진 마늘 후춧가루,Western
30, 스파게티 면 다진 쇠고기 양파 마늘 빵가루 달걀 소금 후추 파슬리 파마산 치즈 식용유,Western
31, 파스타 면 관자 화이트와인 레몬 페퍼론치노 마늘 버터 올리브오일 소금 후춧가루 이탈리안 파슬리,Western
32, 파스타면 굴 레몬 화이트와인 페퍼론치노 마늘 대파 올리브오일 소금 후춧가루 파마산 치즈 딜  또는 이탈리안 파슬리 ,Western
33, 쇠고기 사태 두꺼운 베이컨 당근 셀러리 양송이버섯 통마늘 양파 파슬리 올리브오일 버터 레드 와인 치킨스톡  고형    물 토마토 페이스트 소금 후춧가루 월계수 잎  생략 가능 ,Western
34, 크림치즈 썬드라이 토마토,Western
35, 감자 소금 딜 샬롯 양파    개로 대체 가능  다진 피클 베이컨,Western
36, 오이 적양파 올리브오일 레드와인 비네거 허브 가루  생략 가능  후춧가루,Western
37, 파스타면  펜네  페타치즈 올리브오일 방울토마토 다진 마늘 건 바질 생바질 소금 후춧가루,Western
38, 닭가슴살 생크림 버터 양송이버섯 통마늘 레드와인 또는 화이트와인 소금 후춧가루 파마산 치즈 파슬리,Western
39, 가지 주키니 호박 토마토  작은 것  노란 주키니 호박 올리브오일 소금 후춧가루 파슬리,Western
40, 시금치 쇠고기  불고기용 또는 차돌박이  양파 다진 마늘 밥 우유 생크림 소금 후춧가루 버터 파마산 치즈 가루,Western
41, 가자미 필렛 그린빈스 버터 레몬 밀가루 파슬리가루 소금 후춧가루,Western
42, 간 소고기 라자냐 마늘 당근 셀러리 양파 파마산치즈 올리브오일 슈레드 모차렐라 치즈 토마토소스 건 바질 우유 소금 후춧가루,Western
43, 파인애플 오이 양파 라임 고수 올리브오일,Western
44, 딜 사워크림 바게트 또는 곡물빵 올리브오일,Western
45, 자숙 문어 감자 그린 올리브 양파 셀러리 파프리카 파우더  생략 가능  파슬리  생략 가능 ,Western
46, 양배추 올리브 오일 간장 후춧가루 버터 허브 가루  생략 가능  파슬리 가루,Western
47, 양파 로즈마리  생략 가능  발사믹 식초 설탕 소금 후춧가루,Western
48, 쌀 꼬막 청양고추 쪽파 다시마 육수,Western
49, 토르티야 닭다리살 양파 파프리카  빨 노  소금 후춧가루 큐민 가루 체다  모차렐라 슈레드 치즈 올리브유,Western
50, 제주맘 소시지 양파 양배추 마늘 통조림 콩 토마토소스 슈레드치즈 레드 와인  생략 가능  파프리카 가루 올리브 오일 월계수 잎 소금 후춧가루 파슬리  생략 가능  물,Western
51, 방울토마토 적양파 꿀  올리고당으로 대체 가능  레몬즙 파슬리가루 후춧가루 소금,Western
