,stopword
0,알
1,대
2,개
3,컵
4,큰술
5,장
6,약간
7,한마리
8,조각
9,줌
10,모
11,한줌
12,반컵
13,스푼
14,캔
15,팩
16,반개
17,봉
18,통
19,토막
20,쪽
21,큰술반
22,작은술
23,포기
24,작운술
25,한큰술반
26,단
27,마리
28,공기
29,숟갈
30,조큼
31,꼬집
32,약
33,종이컵
34,한장
35,원하는만큼
36,취향껏
37,가득한접시
38,소량
39,티스푼
40,큰스푼
41,숟가락
42,개대
43,적당히
44,듬뿍
45,샷혹은우유한컵
46,스쿱
47,샷
48,개개
49,샷취향껏
50,뿌리
51,작은슬
52,적당량
53,한컵
54,개정도
55,알취향껏
56,한병
57,작은거
58,반봉
59,한접시
60,줄
61,라면한봉
62,한봉
63,색깔별로하나씩
64,인분
65,색상별로취향껏
66,봉지
67,인분량
68,한사발
69,한뿌리
70,반큰술
71,한개
72,인기준
73,잔
74,슬라이스
75,한꼬집
76,과컵
77,한팩
78,한큰술
79,반근
80,톨
81,반꼬집
82,두줌정도많이
83,옵션
84,개중
85,밥그릇반공기
86,리터
87,덩이
88,송이
89,두컵
90,줄기
91,병
92,한공기
93,미
94,접시
95,큰수
96,국자
97,한캔
98,양파개분량
99,두개
100,두큰술
101,두줄
102,반공기
103,두장
104,한컵반
105,반모
106,박스
107,넉넉히
108,두공기
109,반포기
110,밥공기그릇
111,반개대
112,컵컵
113,생강
114,대접
115,근
116,조금
117,반작은술
118,팩약
119,반팩
120,한작은술
121,반마리
122,분량예포기
123,한스푼
124,세스푼
125,두스푼
126,반스푼
127,분의개
128,취향것
129,한봉지
130,반줌
131,잎
132,주먹
133,한모
134,큰술반큰술반큰술약간
135,팩약줌
136,적당랴
137,컵리터
138,국물용멸치
139,두줌
140,큰것캔
141,한묶음
142,작은것캔
143,느술
144,원크기
145,반뿌리
146,작은것단
147,푹잠길정도의물
148,원분량
149,개씩
150,반단
151,한통
152,먹고싶은만큼준비해주세요
153,반봉지
154,티백
155,약반컵
156,약간공기
157,각개
158,크게큰술
159,두마리
160,패키지
161,약개
162,약작은술
163,마요네즈
164,테이블스푼
165,한두컵
166,각한개씩
167,반개씩
168,캔중
169,큰술큰술
170,한토막
171,한알
172,두작은술
173,한대
174,적정량
175,분량
176,가닥
177,접시씩
178,통씩
179,건조제품기준
180,개약
181,자투리채소활용
182,많이
183,수저
184,찻수저
185,인분뚝배기
186,내용참고
187,한뿌리중
188,한바구니
189,세주먹
190,씩
191,작은것
192,반줌씩
193,개소
194,약컵
195,반컵한컵
196,묶음
197,하나
198,컵종이컵
199,인용한팩
200,마늘
201,약간씩
202,살짝
203,그릇
204,작은숟가락
205,접시소
206,반주먹
207,스푼스푼
208,스푼반스푼
209,컵종이컵기준
210,반숟가락
211,잠길만큼
212,한숟가락
213,한단
214,미리한팩
215,시판용
216,반캔
217,컵넉넉히
218,동전만큼
219,츠
220,개반
221,과큰술
222,중간사이즈캔
223,인분소면
224,두조각
225,약간옵션
226,개봉지
227,공지
228,충분히
229,한주먹
230,컵반
231,한그릇
232,한조각
233,취향대로
234,한톨
235,마리소
236,두주먹
237,다섯줄기
238,삼계탕과삼계탕속재료
239,삼계탕육수
240,세큰술
241,반묶음
242,덩어리
243,약가
244,원두께로한묶음
245,채썬것한주먹
246,반통
247,달걀개
248,준비한유리병크기의절반
249,레몬과동량
250,겹
251,있으면좋음
252,집에있는만큼
253,없으면다른버섯
254,쿤술
255,알중간크기
256,봉지작은것
257,작은컵
258,반갠
259,큰술술
260,각각개씩
261,먹다남은거
262,남은거
263,총컵
264,한근
265,양껏
266,반대
267,아빠숟갈
268,줌인분
269,중간것
270,점
271,생략가능
272,조
273,찻숟가락
274,재주껏
275,쌀양의두배
276,넉넉히세줌
277,한뿌리반
278,소주잔한컵
279,한모작은거기준
280,한쪽
281,간및양념장
282,기호에맞게
283,아래있어요
284,드시고싶으신만큼
285,통대
286,개이건없어도무관
287,한줌반
288,작은숟갈
289,줌씩
290,한줌약
291,한대접
292,사용한전복만큼
293,통소
294,밥숟가락으로계량하면편해요
295,한
296,장중
297,한스푼반
298,본문에
299,알중
300,약마리
301,갸
302,조금씩
303,기준
304,포
305,큰술씩
306,한국자
307,개다리
308,한줄기
309,다섯쪽
310,몇개
311,쪽대
312,두근
313,한줄
314,술
315,종지
316,종이컵컵
317,컵봉지
318,마리중
319,쪽중
